GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lhea1	Lhea2	Lhea3	Lhea4	Lhea5	Lhea6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMhea1	LMhea2	LMhea3	LMhea4	LMhea5	LMhea6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mhea1	Mhea2	Mhea3	Mhea4	Mhea5	Mhea6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLhea1	MLhea2	MLhea3	MLhea4	MLhea5	MLhea6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
nog	protein_coding	chrNC_030686.1:18049260-18049928:+	gi|284813512|ref|NP_001165369.1|	1016	1.00E-137	noggin [Xenopus tropicalis]	gi|284813511|ref|NM_001171898.1|	669	0	Xenopus tropicalis noggin (nog), mRNA	P49011	389	2.00E-136	Noggin	.	.	.	.	pfam05806	Noggin	Noggin. This family consists of the eukaryotic Noggin proteins. Noggin is a glycoprotein that binds bone morphogenetic proteins (BMPs) selectively and, when added to osteoblasts, it opposes the effects of BMPs. It has been found that noggin arrests the differentiation of stromal cells, preventing cellular maturation.	GO:0051216|cartilage development;GO:0030154|cell differentiation;GO:0007517|muscle organ development;GO:0030514|negative regulation of BMP signaling pathway;GO:0045596|negative regulation of cell differentiation;	GO:0005576|extracellular region;	.	K04658	NOG; noggin	34.672182	26.86731685	23.0824308	17.39290481	13.01610316	22.2409369	7.102484419	7.522839174	4.18534864	3.780150535	5.511393462	3.199234289	10.87695483	4.397111387	8.302081504	7.30009823	8.40503718	4.197622662	14.04468869	7.9945447	3.299442488	4.872095614	6.132168443	4.847815991	6.936739249	10.03747398	8.738151431	12.7832271	9.475819798	6.338570489	10.99180853	9.328144446	6.302942975	7.185986102	5.083430469	3.458145769	22.27452897	17.94982575	20.59022082	24.41459032	19.95402051	24.93150931	9.484695364	12.97937107	7.834766546	7.813679962	6.583291996	4.812823735
tecta.1	protein_coding	chrNC_030683.1:87929383-87980132:+	gi|847148522|ref|XP_012822530.1|	11338	0	PREDICTED: alpha-tectorin [Xenopus tropicalis]	gi|847148521|ref|XM_012967076.1|	8958	0	PREDICTED: Xenopus (Silurana) tropicalis tectorin alpha (tecta), mRNA	O08523	3617	0	Alpha-tectorin	.	.	.	.	pfam00100	Zona_pellucida	Zona pellucida-like domain.	GO:0007160|cell-matrix adhesion;GO:0007605|sensory perception of sound;	GO:0031225|anchored component of membrane;GO:0070062|extracellular exosome;GO:0005886|plasma membrane;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;	K18273	TECTA; alpha-tectorin	15.90603049	9.264160552	6.694859593	17.35723584	16.61365805	10.37153288	0.006723363	0.04920157	0.01843515	0.006324563	0.044766963	0.017704863	7.100141248	10.50256604	7.881162298	5.677757522	10.56333201	11.71870411	0.0	0.0	0.024986581	0.013226953	0.006213633	0.051669258	3.942505711	2.747064992	4.449999678	5.834605599	3.333615619	5.016188862	0.033507885	0.006515502	0.006211699	0.0	0.006649425	0.026188436	10.00834923	15.84465323	13.86153453	6.163592681	8.880251402	9.932255003	0.051017534	0.025067859	0.019215625	0.006177377	0.025259905	0.0
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	1065.114611	2053.886323	1358.704042	1696.365883	1182.429829	1887.454141	2797.934413	1914.848714	1763.974046	2094.7129	2027.035273	1971.204975	1021.298577	568.0488264	769.0238515	790.8614056	733.0173964	783.4463693	1600.084572	1547.282753	1307.540791	879.7356575	1128.183756	1808.889985	933.7425893	795.9722474	682.2624387	869.3594803	635.3293365	862.6081477	1496.967348	1232.610587	716.7858844	1261.458693	828.9451997	1088.833635	768.6025883	1832.312509	756.1895162	1967.58233	1470.721276	1072.258927	791.22832	3212.357841	1384.506841	3121.035868	2004.869863	1416.772399
nid2	protein_coding	chrNC_030684.1:74879973-74925486:+	gi|847152618|ref|XP_012823263.1|	7812	0	PREDICTED: nidogen-2 isoform X1 [Xenopus tropicalis]	gi|847152617|ref|XM_012967809.1|	5237	0	PREDICTED: Xenopus (Silurana) tropicalis nidogen 2 (osteonidogen) (nid2), transcript variant X1, mRNA	Q14112	186	7.00E-46	Nidogen-2	.	.	.	.	pfam07474	G2F	G2F domain. Nidogen, an invariant component of basement membranes, is a multifunctional protein that interacts with most other major basement membrane proteins. The G2 fragment or (G2F domain) contains binding sites for collagen IV and perlecan. The structure is composed of an 11-stranded beta-barrel with a central helix. This domain is structurally related to that of green fluorescent protein pfam01353. A large surface patch on the beta-barrel is conserved in all metazoan nidogens.	GO:0071711|basement membrane organization;GO:0007155|cell adhesion;GO:0007160|cell-matrix adhesion;GO:0030198|extracellular matrix organization;	GO:0005604|basement membrane;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005509|calcium ion binding;GO:0005518|collagen binding;	K06826	NID; nidogen (entactin)	39.20124432	40.18775126	31.51881274	45.84037165	35.41637679	52.48060669	37.85615344	31.89878975	27.03836376	41.80971618	26.11807154	28.12596903	19.68211055	26.66243107	22.3232527	25.02763268	25.34463563	30.93101902	28.8487763	44.14995266	30.94601368	35.51119309	28.57584194	45.16183948	25.06490505	24.46823601	30.02598408	21.88476939	19.33148662	25.83959422	42.20771874	30.11450644	36.62966419	27.79356865	28.9978704	23.92481639	35.55528236	51.85010776	44.15625669	52.32561597	28.80781619	35.81929816	21.4128602	58.5992124	25.08952505	45.65200399	26.5077503	28.09926084
chid1	protein_coding	chrNC_030680.1:34569078-34732415:+	gi|56118422|ref|NP_001008105.1|	2004	0	chitinase domain-containing protein 1 precursor [Xenopus tropicalis]	gi|56118421|ref|NM_001008104.1|	1840	0	Xenopus (Silurana) tropicalis chitinase domain containing 1 (chid1), mRNA	Q66IL0	776	0	Chitinase domain-containing protein 1	CAC1556	64.3	4.00E-10	COG3858	pfam00704	Glyco_hydro_18	Glycosyl hydrolases family 18.	GO:0005975|carbohydrate metabolic process;GO:0006032|chitin catabolic process;GO:0006954|inflammatory response;	GO:0005576|extracellular region;GO:0005764|lysosome;	GO:0008061|chitin binding;GO:0004568|chitinase activity;	K17525	CHID1; chitinase domain-containing protein 1	15.04738387	16.09658107	9.43579978	23.52616241	15.84911347	21.63320028	9.215811285	13.33142083	8.451093051	10.19563504	10.13489728	7.095054662	8.532802905	13.09328561	8.358802445	8.952557795	9.110868829	8.251350326	9.72067074	8.087774664	12.17506014	9.155538573	14.03485027	14.41181993	10.09690102	6.780365007	8.781376282	8.92533245	5.805354966	7.848486489	11.20014362	9.197930245	5.402866853	14.04054157	7.358187526	9.779213392	12.20686234	18.76544858	13.31677466	15.0521134	12.54905668	15.07672858	9.322127129	9.874471464	15.75097811	12.18070718	9.978877923	9.635860776
inha	protein_coding	chrNW_016683550.1:207133-209436:-	gi|73853874|ref|NP_001027522.1|	1880	0	inhibin alpha chain [Xenopus tropicalis]	gi|73853873|ref|NM_001032351.1|	1620	0	Xenopus tropicalis inhibin alpha (inha), mRNA	P04087	254	3.00E-77	Inhibin alpha chain	.	.	.	.	pfam00019	TGF_beta	Transforming growth factor beta like domain.	GO:0048468|cell development;GO:0042541|hemoglobin biosynthetic process;GO:0010862|positive regulation of pathway-restricted SMAD protein phosphorylation;GO:0042981|regulation of apoptotic process;GO:0043408|regulation of MAPK cascade;GO:0060395|SMAD protein signal transduction;	GO:0005615|extracellular space;	GO:0005125|cytokine activity;GO:0005160|transforming growth factor beta receptor binding;	K05500	INHA; inhibin, alpha	65.91942105	39.8837845	37.61535604	39.57107197	43.98260651	47.09773529	6.89675172	1.8172097	6.200749785	0.634663052	2.06789171	0.36191301	34.74006474	19.59544043	34.15066835	24.17509926	42.24260904	33.71264037	3.394740906	0.352356603	2.437727056	0.258088138	0.727453258	1.224225315	28.02054114	28.30525973	24.25718183	30.97264059	22.42326638	46.50855683	1.008744043	2.651618067	0.277038787	1.250088767	0.667262587	1.05849246	39.22771813	41.45664681	46.25508259	52.1211185	36.47662904	43.34588589	12.62112399	4.856375417	4.070786362	1.653048271	6.829889169	6.68463771
ache	protein_coding	chrNC_030679.1:131300805-131311379:-	gi|301621499|ref|XP_002940088.1|	3065	0	PREDICTED: acetylcholinesterase isoform X1 [Xenopus tropicalis]	gi|847170855|ref|XM_004919097.2|	3856	0	PREDICTED: Xenopus (Silurana) tropicalis acetylcholinesterase (Yt blood group) (ache), transcript variant X3, mRNA	P04058	736	0	Acetylcholinesterase	BS_pnbA	209	5.00E-58	COG2272	pfam00135	COesterase	Carboxylesterase family.	GO:0006581|acetylcholine catabolic process;GO:0071405|cellular response to methanol;GO:0030239|myofibril assembly;GO:0007528|neuromuscular junction development;GO:0048666|neuron development;GO:0050803|regulation of synapse structure or activity;GO:0001975|response to amphetamine;GO:0045471|response to ethanol;GO:0009749|response to glucose;	GO:0030054|cell junction;GO:0005615|extracellular space;GO:0031594|neuromuscular junction;GO:0005886|plasma membrane;	GO:0003990|acetylcholinesterase activity;	K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	1.513782533	1.157783886	2.674769984	2.259772936	3.297678223	1.094849264	1.803083478	1.411961172	2.159866304	2.749790568	2.208837943	2.865659231	4.156912588	2.72793191	3.980802447	3.028039139	2.532889808	2.768448652	5.587559966	3.094671752	5.393753582	4.447471074	5.024397659	4.107162726	4.953687901	3.297269134	4.176069852	3.706305764	6.080321154	3.065562219	3.703405412	3.693239284	3.710334406	5.466850943	4.066360697	3.711155123	2.308637001	1.783490541	2.089554481	2.17358568	1.846686135	1.220060905	1.969374916	1.273246777	1.353386789	1.154641757	1.231681145	1.654455624
spon2	other	chrNC_030685.1:58952541-58953343:+	.	.	.	.	gi|118404863|ref|NM_001079092.1|	803	0	Xenopus (Silurana) tropicalis spondin 2, extracellular matrix protein (spon2), mRNA	.	.	.	.	.	.	.	.	pfam13853	7tm_4	Olfactory receptor. The members of this family are transmembrane olfactory receptors.	.	.	.	.	.	1956.201974	1273.828583	1044.081251	1040.772181	1249.325051	1353.133383	1.868609324	5.911364921	1.992526767	1.684531156	1.481188377	2.323651152	824.6303024	1246.189189	1019.788273	1093.016059	1185.316482	1075.586142	37.66014706	18.73712183	278.7913205	1.684896338	35.47424972	20.71775575	577.9176286	617.2715957	910.5699841	842.8368674	778.7973323	761.9921962	1.086490056	30.18065088	33.08940226	3.173741345	3.542114553	1.743805759	1246.050718	1206.942747	1040.542651	914.5794537	1074.224633	1732.509636	57.75065767	1.814337017	1.631836494	2.003008677	2.120754637	1.930590288
spon2	protein_coding	chrNC_030677.1:14487127-14498895:+	gi|118404864|ref|NP_001072560.1|	1676	0	spondin-2 [Xenopus tropicalis]	gi|118404863|ref|NM_001079092.1|	1671	0	Xenopus (Silurana) tropicalis spondin 2, extracellular matrix protein (spon2), mRNA	Q8BMS2	454	4.00E-155	Spondin-2	.	.	.	.	pfam06468	Spond_N	Spondin_N. This conserved region is found at the in the N-terminal half of several Spondin proteins. Spondins are involved in patterning axonal growth trajectory through either inhibiting or promoting adhesion of embryonic nerve cells.	GO:0007155|cell adhesion;GO:0071222|cellular response to lipopolysaccharide;GO:0042742|defense response to bacterium;GO:0050832|defense response to fungus;GO:0051607|defense response to virus;GO:0043152|induction of bacterial agglutination;GO:0045087|innate immune response;GO:0002448|mast cell mediated immunity;GO:0008228|opsonization;GO:0032755|positive regulation of interleukin-6 production;GO:0060907|positive regulation of macrophage cytokine production;GO:0032760|positive regulation of tumor necrosis factor production;GO:0032496|response to lipopolysaccharide;	GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	GO:0003823|antigen binding;GO:0001530|lipopolysaccharide binding;GO:0046872|metal ion binding;	.	.	22.44924124	23.78460982	26.3028581	34.06361162	0.866962666	35.50755849	0.37348001	0.102492249	0.10240649	0.105398046	0.035525516	0.065566515	7.417617511	48.34440975	16.34651471	26.25680492	6.095967162	7.773986895	0.260197952	0.210656206	0.693997052	0.514326182	0.138065885	0.215265425	40.5930664	28.82412552	76.4344556	19.09484689	29.61380486	28.31174696	0.186134902	0.760060209	0.138022908	0.10380068	0.110811827	0.036368917	15.01171885	37.07649965	7.418628228	54.86143007	14.38607932	21.55136934	0.106275101	0.313314543	0	0	0.175397146	0.035618601
ltbp1	protein_coding	chrNC_030681.1:56674598-56879202:+	gi|847131761|ref|XP_012819247.1|	8511	0	PREDICTED: latent-transforming growth factor beta-binding protein 1 isoform X1 [Xenopus tropicalis]	gi|847131760|ref|XM_012963793.1|	5632	0	PREDICTED: Xenopus (Silurana) tropicalis latent transforming growth factor beta binding protein 1 (ltbp1), transcript variant X1, mRNA	Q14766	1904	0	Latent-transforming growth factor beta-binding protein 1	.	.	.	.	pfam00683	TB	TB domain. This domain is also known as the 8 cysteine domain. This family includes the hybrid domains. This cysteine rich repeat is found in TGF binding protein and fibrillin.	GO:0035904|aorta development;GO:0060976|coronary vasculature development;GO:0035583|sequestering of TGFbeta in extracellular matrix;GO:0003281|ventricular septum development;	GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0001527|microfibril;GO:0043234|protein complex;GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0050436|microfibril binding;GO:0050431|transforming growth factor beta binding;GO:0005024|transforming growth factor beta-activated receptor activity;	K19559	LTBP1; latent transforming growth factor beta binding protein 1	14.03217258	75.67401559	37.37271544	38.62224579	13.69776103	26.30351977	77.93288951	93.58698174	67.22346832	76.47010529	58.82042469	50.41693867	34.42942419	30.57692681	15.81178825	44.92070098	23.73482648	18.07520283	73.75581069	88.63666257	77.24701633	93.11829769	80.65706487	124.4838423	44.59059044	75.29401017	26.42056346	39.96835338	62.04541104	44.9897525	102.362249	75.35812832	107.2188459	73.04791318	80.23811037	66.25166854	15.05326288	41.5187415	13.75975481	24.74396139	35.86808504	25.1536631	59.51448422	109.880639	58.47535224	84.4528137	61.87802692	71.30052902
vwce	protein_coding	chrNC_030680.1:14823544-14858389:-	gi|847123768|ref|XP_012817611.1|	6466	0	PREDICTED: von Willebrand factor C and EGF domain-containing protein [Xenopus tropicalis]	gi|847123767|ref|XM_012962157.1|	4801	0	PREDICTED: Xenopus (Silurana) tropicalis von Willebrand factor C and EGF domains (vwce), mRNA	Q96DN2	108	4.00E-22	von Willebrand factor C and EGF domain-containing protein	.	.	.	.	pfam00093	VWC	von Willebrand factor type C domain. The high cutoff was used to prevent overlap with pfam00094.	GO:0008284|positive regulation of cell proliferation;GO:0009966|regulation of signal transduction;	GO:0005576|extracellular region;	GO:0005509|calcium ion binding;	.	.	5.767324726	1.99974493	4.266266874	3.11260274	3.356602584	3.817069224	2.924123889	1.224744627	1.262878866	1.289695051	1.518072175	0.554714955	4.105931502	2.575841962	3.156301406	3.640736774	2.961354447	3.050909404	1.481789096	1.117665244	1.064822375	0.653232896	1.633338112	0.679098431	3.373263006	2.514345668	3.24084658	3.78292431	3.203872565	2.799111042	0.918167726	0.602035992	0.811466872	1.160995581	0.911022439	0.928295254	4.235601926	4.553788762	5.783640104	3.701316079	3.826995891	4.997463659	1.290267488	2.266363994	1.377569698	1.968251753	1.388344889	1.726351894
a2m	protein_coding	chrNW_016683499.1:32552-61070:+	gi|847172643|ref|XP_012809557.1|	7666	0	PREDICTED: alpha-2-macroglobulin [Xenopus tropicalis]	gi|847172642|ref|XM_012954103.1|	4773	0	PREDICTED: Xenopus (Silurana) tropicalis alpha-2-macroglobulin (a2m), mRNA	P01023	1418	0	Alpha-2-macroglobulin	TM0984	86.7	5.00E-16	COG2373	pfam07678	A2M_comp	A-macroglobulin complement component. This family includes the complement components region of the alpha-2-macroglobulin family.	GO:0007597|blood coagulation, intrinsic pathway;GO:0022617|extracellular matrix disassembly;GO:0001869|negative regulation of complement activation, lectin pathway;GO:0002576|platelet degranulation;GO:0051056|regulation of small GTPase mediated signal transduction;GO:0048863|stem cell differentiation;	GO:0072562|blood microparticle;GO:0005829|cytosol;GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0031093|platelet alpha granule lumen;	GO:0048306|calcium-dependent protein binding;GO:0019899|enzyme binding;GO:0019838|growth factor binding;GO:0005096|GTPase activator activity;GO:0019966|interleukin-1 binding;GO:0019959|interleukin-8 binding;GO:0002020|protease binding;GO:0005102|receptor binding;GO:0004867|serine-type endopeptidase inhibitor activity;GO:0043120|tumor necrosis factor binding;	K03910	A2M; alpha-2-macroglobulin	1.829536963	1.244747922	5.44819837	1.710054681	3.951171002	2.567116837	8.733237544	1.54504651	4.679129445	3.263918118	5.218389504	1.333190376	3.998523031	1.34163312	3.333448458	1.644737853	2.849465698	4.288875795	8.040315222	16.73955825	5.522879411	1.738707163	5.941415996	2.779696515	1.06905684	1.246820377	2.627336318	1.130379156	1.659508755	1.371274666	3.014753925	5.062717278	2.237922218	4.269762178	5.412815471	2.511763049	3.900958084	1.55412398	4.783066461	2.254485801	4.340987739	4.939471543	3.825102411	2.404287222	4.303434776	2.598488025	5.853849456	4.620198795
igfbp4	protein_coding	chrNW_016683386.1:860049-892765:+	gi|512874129|ref|XP_002942630.2|	1291	6.00E-174	PREDICTED: insulin-like growth factor-binding protein 4 [Xenopus tropicalis]	gi|847169583|ref|XM_002942584.3|	1554	0	PREDICTED: Xenopus (Silurana) tropicalis insulin-like growth factor binding protein 4 (igfbp4), mRNA	P24854	282	8.00E-90	Insulin-like growth factor-binding protein 4	.	.	.	.	pfam00219	IGFBP	Insulin-like growth factor binding protein.	GO:0001558|regulation of cell growth;GO:0043567|regulation of insulin-like growth factor receptor signaling pathway;	GO:0005615|extracellular space;	GO:0031994|insulin-like growth factor I binding;GO:0031995|insulin-like growth factor II binding;	.	.	3.295448076	7.741675448	5.595175125	8.801307009	4.716243429	7.838409693	9.736147992	2.72336548	6.839488255	3.633180509	3.78861108	3.708052216	8.935508353	7.235332662	6.668676873	9.513057153	4.556484477	10.48990607	8.008298798	3.630769505	8.111325007	3.640850645	5.354184377	6.10639027	8.574888675	11.9834007	4.987543203	10.5553256	13.74743887	9.189523596	4.411181587	7.8756156	3.494004618	5.739897072	3.183166008	5.210584503	3.007530513	7.249896543	4.960238445	7.596245429	6.690893842	6.288534643	5.495120296	6.37516464	3.871148801	4.472750783	4.79910972	6.139051583
loxl1	protein_coding	chrNC_030679.1:82947858-82954271:+	gi|156717522|ref|NP_001096301.1|	2232	0	lysyl oxidase homolog 1 precursor [Xenopus tropicalis]	gi|156717521|ref|NM_001102831.1|	2300	0	Xenopus tropicalis lysyl oxidase like 1 (loxl1), mRNA	Q08397	84.3	2.00E-15	Lysyl oxidase homolog 1	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0035904|aorta development;GO:0030198|extracellular matrix organization;GO:0055114|oxidation-reduction process;GO:0018277|protein deamination;GO:0032496|response to lipopolysaccharide;	GO:0001669|acrosomal vesicle;GO:0005604|basement membrane;GO:0005576|extracellular region;GO:0005615|extracellular space;	GO:0005507|copper ion binding;GO:0016641|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor;	K14678	LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]	31.52388038	60.78963239	42.82890574	52.17937691	24.63988456	43.5182378	89.80373053	65.16210656	53.94202924	99.44175177	71.16740335	53.85450739	23.16113223	19.0178727	14.76417	22.20909525	19.32167752	12.8777389	47.74236174	61.83550853	44.36648121	44.43502561	50.55486528	66.21360715	27.03056365	35.47046528	23.7007868	24.04583954	24.36083912	28.64839256	64.10389052	50.72210248	50.99059459	64.51011704	59.6582394	64.26534419	21.91161057	52.52338459	28.07786443	53.73961368	38.1284512	32.06424033	50.649615	79.53237308	64.73459236	77.42266552	68.46337819	67.41854201
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	307.3608065	596.4435474	343.9676991	445.0445246	272.3699121	368.6885579	1225.081838	416.9277648	478.2835045	575.4217331	550.4320908	351.797982	301.6402138	72.35917013	157.9519724	217.3358022	217.3277057	152.1489378	607.5394002	286.0730904	346.6765686	163.6361132	339.916802	488.2557109	247.4974163	244.5179056	218.220909	262.1995171	174.5515488	221.6330845	345.2307891	370.6000042	176.9848916	376.1744316	207.7227817	265.5579626	157.2419663	550.1796271	174.7473504	575.9117423	343.8065042	331.8008802	279.6461759	875.5719524	441.0020192	574.1817534	435.2231819	425.5357361
nppc	protein_coding	chrNC_030681.1:108233022-108239347:-	gi|163915239|ref|NP_001106395.1|	516	8.00E-59	C-type natriuretic peptide precursor [Xenopus tropicalis]	gi|163915238|ref|NM_001112924.1|	1967	0	Xenopus (Silurana) tropicalis natriuretic peptide C (nppc), mRNA	P40756	161	4.00E-45	C-type natriuretic peptide 2	.	.	.	.	pfam00212	ANP	Atrial natriuretic peptide.	GO:0050880|regulation of blood vessel size;	GO:0005576|extracellular region;	.	.	.	10.29922379	26.94040084	22.70311002	22.34756893	14.27685205	38.01799954	0.794618119	2.67490702	0.581014959	1.524869133	0.665141684	1.227597155	3.224231302	16.94910957	5.681707111	14.02474663	1.94106048	6.755274899	2.277662776	8.66507046	0.885931163	0.750365629	0.910624182	2.351066158	12.20078174	22.4892677	30.82144664	7.555066519	11.53776204	16.01015541	10.20151746	4.18908048	8.662919757	1.0011726	1.823240459	1.29996227	8.781077021	8.814447916	6.168426219	20.0798355	10.606192	15.12862627	0.512519375	1.65911758	0.484490347	0.846903607	0.149270373	0.939700912
col4a2	protein_coding	chrNC_030678.1:113644049-113761497:-	gi|512822856|ref|XP_002933063.2|	6619	0	PREDICTED: collagen alpha-2(IV) chain [Xenopus tropicalis]	gi|847104841|ref|XM_004911987.2|	5843	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type IV, alpha 2 (col4a2), transcript variant X1, mRNA	P08122	72.4	5.00E-11	Collagen alpha-2(IV) chain	.	.	.	.	pfam01413	C4	C-terminal tandem repeated domain in type 4 procollagen. Duplicated domain in C-terminus of type 4 collagens. Mutations in alpha-5 collagen IV are associated with X-linked Alport syndrome.	GO:0001525|angiogenesis;GO:0071560|cellular response to transforming growth factor beta stimulus;GO:0038063|collagen-activated tyrosine kinase receptor signaling pathway;GO:0035987|endodermal cell differentiation;GO:0030198|extracellular matrix organization;GO:0016525|negative regulation of angiogenesis;GO:0006351|transcription, DNA-templated;	GO:0005604|basement membrane;GO:0005587|collagen type IV trimer;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0043231|intracellular membrane-bounded organelle;	GO:0005201|extracellular matrix structural constituent;	K06237	COL4A; collagen, type IV, alpha	30.02018551	35.37676881	26.22686141	25.6906917	24.71825561	30.92605297	78.42203946	56.29420908	44.23680733	55.66978036	48.68437512	33.12359983	49.16031319	42.06710707	50.71115053	56.59731862	56.77108332	55.77098901	79.81262522	95.33661471	89.10413322	64.9089772	86.95815557	99.60915019	39.32134512	36.07812449	52.0551802	50.18997174	37.70684719	40.8553299	88.8606079	57.88148287	70.35099504	71.04154943	60.08212427	71.1943885	40.35775837	41.89012205	44.60619619	37.44036889	35.72861571	37.19031143	38.54148141	96.16163559	54.87376827	75.4132574	50.42870465	49.63602472
col3a1	protein_coding	chrNC_030685.1:39803845-39864240:-	gi|218847780|ref|NP_001136379.1|	1436	1.00E-166	collagen alpha-1(III) chain precursor [Xenopus tropicalis]	gi|218847779|ref|NM_001142907.1|	5222	0	Xenopus (Silurana) tropicalis collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) (col3a1), mRNA	P13941	147	4.00E-34	Collagen alpha-1(III) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0007568|aging;GO:0060414|aorta smooth muscle tissue morphogenesis;GO:0007160|cell-matrix adhesion;GO:0071230|cellular response to amino acid stimulus;GO:0021987|cerebral cortex development;GO:0030199|collagen fibril organization;GO:0048565|digestive tract development;GO:0007507|heart development;GO:0007229|integrin-mediated signaling pathway;GO:0050777|negative regulation of immune response;GO:2001223|negative regulation of neuron migration;GO:0018149|peptide cross-linking;GO:0035025|positive regulation of Rho protein signal transduction;GO:0034097|response to cytokine;GO:0009612|response to mechanical stimulus;GO:0009314|response to radiation;GO:0001501|skeletal system development;GO:0043588|skin development;GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0042060|wound healing;	GO:0005586|collagen type III trimer;GO:0031012|extracellular matrix;GO:0005615|extracellular space;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	530.5120416	766.0607238	531.4176023	619.401693	332.6138542	720.5334255	1139.448386	459.8421777	459.424805	627.6162562	512.8782085	520.4962853	423.6971901	179.1158612	310.11797	366.1707186	275.5519026	298.1226471	556.8605905	416.2515742	393.8420073	199.6193594	359.6285725	480.8836362	420.581195	414.9438441	451.5016001	405.9908933	249.2928697	454.7632522	445.6007118	434.3805425	271.4775674	398.4284282	260.9733605	296.534217	332.8126691	840.4533096	287.8375889	802.8164029	502.6910356	444.8420349	216.9501293	1016.524902	357.9725703	775.3879455	428.952382	402.2399156
