GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lliv1	Lliv2	Lliv3	Lliv4	Lliv5	Lliv6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMliv1	LMliv2	LMliv3	LMliv4	LMliv5	LMliv6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mliv1	Mliv2	Mliv3	Mliv4	Mliv5	Mliv6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLliv1	MLliv2	MLliv3	MLliv4	MLliv5	MLliv6
penk	protein_coding	chrNC_030682.1:100990380-100999169:-	gi|349585135|ref|NP_001015744.2|	1414	0	proenkephalin-A preproprotein [Xenopus tropicalis]	gi|349585134|ref|NM_001015744.2|	1390	0	Xenopus (Silurana) tropicalis proenkephalin (penk), mRNA	P01212	511	3.00E-180	Proenkephalin-A-A	.	.	.	.	pfam01160	Opiods_neuropep	Vertebrate endogenous opioids neuropeptide.	GO:0007218|neuropeptide signaling pathway;	GO:0005576|extracellular region;	.	.	.	14.50992182	27.00043472	15.64786997	15.0874932	9.971773433	23.46475682	0.047114678	0.041252862	0.043092278	0.165733144	0.0	0.0	27.12378768	28.17690979	21.35247329	24.30842993	26.8033554	31.392888	0.0	0.0	0.0	0.0	0.0	0.0	28.26677015	24.74034678	19.37238132	24.42440003	35.38424414	35.21129917	0.0	0.09984536	0.0	0.0	0.0	0.0	16.46072253	19.28277719	18.93183975	23.10508297	23.55155438	8.839211202	0.0	0.045822528	0.085342038	0.0	0.0	0.047270983
mmp1	protein_coding	chrNC_030678.1:158559069-158569680:+	gi|71896459|ref|NP_001025501.1|	2432	0	matrix metallopeptidase 1 precursor [Xenopus tropicalis]	gi|71896458|ref|NM_001030330.1|	1484	0	Xenopus (Silurana) tropicalis matrix metallopeptidase 1 (mmp1), mRNA	O13065	837	0	Matrix metalloproteinase-18	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0030574|collagen catabolic process;	GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	.	.	57.91726362	679.9648686	462.4826436	1781.744427	1554.735756	1893.771958	0.925348019	37.93302668	0.692465507	10.5789265	0.378450334	4.47222617	22.85294795	23.57313916	286.1594797	210.8986689	250.4126547	2911.470099	6.001874234	7.639347871	0.430020346	5.306829328	1.30342407	0.301708721	1361.487249	128.9821965	2099.182065	1021.106857	11.25631218	228.2018164	2.818406699	18.45119171	94.33713599	1.272372212	2.598227376	21.52510873	502.033126	1536.790168	171.0635097	974.0686532	196.4520312	954.7489191	3.753073862	1.390862351	0.266659611	2.990405409	0.441449096	0.337606505
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	62.07944491	51.38375626	25.04804007	104.5079644	30.01232524	69.57340872	15.10851006	7.168945137	8.784096038	20.78061075	18.42239262	12.4011406	41.47982176	79.78721712	22.33734407	18.30535661	21.65623721	42.85004987	6.272110361	60.90141491	4.709278556	4.959954604	7.035130652	2.065062765	66.60924951	16.30538753	52.33139251	27.11530629	59.69319416	32.17046701	6.60642036	16.77768988	5.195124318	9.627210293	4.690777621	6.691860953	33.39108849	116.3209112	43.45469959	98.55644807	51.19678056	37.44067292	4.577157859	8.724651261	5.162615536	5.237565586	15.78883546	6.689671111
sfrp5	protein_coding	chrNC_030683.1:25554744-25597275:-	gi|52345596|ref|NP_001004846.1|	1579	0	secreted frizzled-related protein 5 precursor [Xenopus tropicalis]	gi|52345595|ref|NM_001004846.1|	1897	0	Xenopus (Silurana) tropicalis secreted frizzled-related protein 5 (sfrp5), mRNA	Q9XSC1	407	7.00E-136	Secreted frizzled-related protein 5	.	.	.	.	pfam01392	Fz	Fz domain. Also known as the CRD (cysteine rich domain), the C6 box in MuSK receptor. This domain of unknown function has been independently identified by several groups. The domain contains 10 conserved cysteines.	GO:0060070|canonical Wnt signaling pathway;GO:0030154|cell differentiation;GO:0007275|multicellular organism development;GO:0090090|negative regulation of canonical Wnt signaling pathway;GO:0035414|negative regulation of catenin import into nucleus;GO:0008285|negative regulation of cell proliferation;GO:0051898|negative regulation of protein kinase B signaling;GO:0043433|negative regulation of DNA binding transcription factor activity;GO:0030178|negative regulation of Wnt signaling pathway;GO:2000057|negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis;GO:0035567|non-canonical Wnt signaling pathway;	GO:0005576|extracellular region;GO:0016021|integral component of membrane;	GO:0004930|G-protein coupled receptor activity;GO:0042813|Wnt-activated receptor activity;GO:0017147|Wnt-protein binding;	K02222	SFRP5; secreted frizzled-related protein 5	11.21048573	10.13998717	5.777259609	11.65546726	12.90151308	12.7710239	0.137655077	0.090396445	0.786892622	0.877654106	1.826882976	0.062548618	4.094862873	4.775563335	5.106511661	5.532964089	3.660900299	12.88486274	0.54562493	8.535459059	0.24628438	0.486597987	0.578923418	0.56423449	7.568372599	3.108331095	2.676211558	8.789406561	1.037713799	8.183393228	0.15794309	0.619901698	0.06794448	0.757114043	0.431326284	0.578610352	2.378948408	10.53885272	8.669878753	3.643091839	2.011102253	6.585514263	0.069788564	0.133879799	0.187008039	0.067032749	0.820876418	0.17263969
them6	protein_coding	chrNC_030682.1:133746521-133754036:-	gi|847171357|ref|XP_012809068.1|	1097	2.00E-142	PREDICTED: protein THEM6 isoform X1 [Xenopus tropicalis]	gi|187607566|ref|NM_001126505.1|	2145	0	Xenopus tropicalis thioesterase superfamily member 6 (them6), mRNA	B0BLZ5	423	1.00E-143	Protein THEM6	.	.	.	.	pfam13279	4HBT_2	Thioesterase-like superfamily. This family contains a wide variety of enzymes, principally thioesterases. These enzymes are part of the Hotdog fold superfamily.	.	GO:0005576|extracellular region;	.	.	.	10.3632394	9.373229644	5.654003583	9.821926953	14.39052417	10.86662175	3.610073254	1.802896619	2.323534221	2.751447661	3.729412469	1.482407349	2.620405367	8.953946937	6.238881695	5.052402289	2.869445982	7.426115272	0.897837598	2.167311136	1.312290754	1.250677723	2.249267587	0.465841925	7.431244489	5.351623394	4.828392447	4.21468736	5.694899387	4.518180648	1.12911574	3.088519911	3.854136071	1.961056247	1.268830941	2.248051247	4.771299454	7.01569984	8.475511946	3.411562827	3.942889872	4.565421907	1.708223988	2.054623037	2.082847529	0.859450714	1.173668924	1.368329917
leap2	protein_coding	chrNC_030679.1:28336829-28341110:-	gi|163915061|ref|NP_001106385.1|	402	3.00E-48	liver-expressed antimicrobial peptide 2 precursor [Xenopus tropicalis]	gi|163915060|ref|NM_001112914.1|	378	0	Xenopus (Silurana) tropicalis liver expressed antimicrobial peptide 2 (leap2), mRNA	Q969E1	76.6	1.00E-17	Liver-expressed antimicrobial peptide 2	.	.	.	.	pfam07359	LEAP-2	Liver-expressed antimicrobial peptide 2 precursor (LEAP-2). This family consists of several mammalian liver-expressed antimicrobial peptide 2 (LEAP-2) sequences. LEAP-2 is a cysteine-rich, and cationic protein. LEAP-2 contains a core structure with two disulfide bonds formed by cysteine residues in relative 1-3 and 2-4 positions. LEAP-2 is synthesized as a 77-residue precursor, which is predominantly expressed in the liver and highly conserved among mammals. The largest native LEAP-2 form of 40 amino acid residues is generated from the precursor at a putative cleavage site for a furin-like endoprotease. In contrast to smaller LEAP-2 variants, this peptide exhibits dose-dependent antimicrobial activity against selected microbial model organisms. The exact function of this family is unclear.	GO:0042742|defense response to bacterium;	GO:0005576|extracellular region;	.	.	.	523.0243324	468.0241572	1052.24766	522.1878871	393.1607147	472.0517537	236.4895107	322.6595876	221.053126	362.0085399	219.9544331	321.6644578	843.553461	278.8878452	753.9000948	587.6326083	846.3562723	487.8892582	290.3623815	226.3582193	250.4581835	102.7000007	306.4855397	122.4998979	672.2877428	773.0693375	972.2310548	876.2680134	381.8605763	567.4848048	123.5658992	128.3210985	59.34725657	194.3920351	138.508471	142.1884236	994.3779821	672.2169573	603.2437547	739.2733365	991.5952063	962.9303394	255.9533417	411.1420278	213.400249	227.6229104	206.3000554	340.8750582
nppc	protein_coding	chrNC_030681.1:108233022-108239347:-	gi|163915239|ref|NP_001106395.1|	516	8.00E-59	C-type natriuretic peptide precursor [Xenopus tropicalis]	gi|163915238|ref|NM_001112924.1|	1967	0	Xenopus (Silurana) tropicalis natriuretic peptide C (nppc), mRNA	P40756	161	4.00E-45	C-type natriuretic peptide 2	.	.	.	.	pfam00212	ANP	Atrial natriuretic peptide.	GO:0050880|regulation of blood vessel size;	GO:0005576|extracellular region;	.	.	.	9.162773375	18.63012125	17.22104253	36.93197396	36.27603964	37.41866035	2.130819415	1.311828428	2.466578331	2.576573238	2.875837739	2.238998844	3.262517918	5.991332149	7.321259075	8.437683227	3.911363786	16.54206797	0.496820715	1.723072158	1.021161686	1.050169454	0.766434936	0.579993327	9.619858416	4.717169831	8.422132182	5.405524155	1.066696718	6.845639866	0.825142239	2.187258043	0.690204692	1.037679902	2.175881183	0.524797678	8.708548275	16.96148952	9.259637084	6.567123442	4.430134785	6.090158099	1.687946574	1.878094672	1.688618257	0.778220566	0.730634264	1.169157758
svbp	protein_coding	chrNW_016684385.1:1720-8787:-	gi|847175562|ref|XP_012810579.1|	322	2.00E-34	PREDICTED: coiled-coil domain-containing protein 23 [Xenopus tropicalis]	gi|110289764|emb|CU025074.1|	537	0	Xenopus tropicalis finished cDNA, clone TTpA034n18	Q32LJ0	94.7	3.00E-23	Small vasohibin-binding protein	.	.	.	.	pfam14303	NAM-associated	No apical meristem-associated C-terminal domain. This domain is found in a number of different types of plant proteins including NAM-like proteins.	GO:0010596|negative regulation of endothelial cell migration;GO:0031397|negative regulation of protein ubiquitination;GO:0009306|protein secretion;	GO:0045177|apical part of cell;GO:0005576|extracellular region;	.	.	.	7.768676321	8.440632099	10.06617301	10.76793526	8.578605634	12.74784448	8.216989079	6.762984881	9.018559557	7.659699344	11.75537014	6.869988585	13.94705942	25.67431143	14.83706763	12.46469118	12.16159427	14.07035715	12.56809918	9.387706334	13.02119952	9.56293492	12.14966923	7.999147768	12.40020653	15.7166984	17.26034684	19.66021583	12.77591532	15.35247987	7.768699416	7.139506999	9.733877971	10.92190838	8.680412468	10.87970774	7.98301803	7.917537766	7.790737772	11.96990216	8.200196162	7.091332048	8.331721232	9.58995947	5.953597618	7.842663409	10.03525026	8.903789118
prf1	protein_coding	chrNW_016683496.1:365689-374562:+	gi|512869777|ref|XP_002942100.2|	2866	0	PREDICTED: perforin-1-like [Xenopus tropicalis]	gi|847165088|ref|XM_002942054.3|	962	0	PREDICTED: Xenopus (Silurana) tropicalis perforin-1-like (LOC100491518), mRNA	P10820	374	3.00E-119	Perforin-1	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0019835|cytolysis;GO:0002357|defense response to tumor cell;GO:0051607|defense response to virus;GO:0002418|immune response to tumor cell;GO:0001771|immunological synapse formation;GO:0051260|protein homooligomerization;	GO:0044194|cytolytic granule;GO:0031904|endosome lumen;GO:0005576|extracellular region;GO:0016021|integral component of membrane;GO:0016020|membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0022829|wide pore channel activity;	K07818	PRF1; perforin 1	19.92357806	3.570128235	5.794201033	3.807526743	5.407563055	8.081843676	5.370131043	2.838403171	6.199470571	5.500061566	3.830106606	4.642170765	1.547045215	9.351739198	2.751394635	3.390769196	1.817398244	2.556576604	3.542518003	3.293359832	3.381185477	3.134140203	2.580276908	2.21458511	2.380348183	1.855734611	2.078109036	2.051918002	3.209000209	2.341804107	2.073903335	6.557593645	2.682940674	3.842101399	3.928180893	3.99147119	2.814167375	2.155490863	3.548124574	4.799633379	3.473854271	5.989670491	4.515459639	3.885292163	4.329828288	3.061519708	3.53040888	6.110719937
gcg	protein_coding	chrNC_030685.1:66971964-66989004:+	gi|55742077|ref|NP_001006913.1|	1426	0	glucagon precursor [Xenopus tropicalis]	gi|55742076|ref|NM_001006912.1|	1344	0	Xenopus (Silurana) tropicalis glucagon (gcg), mRNA	O42143	298	6.00E-101	Glucagon-1	.	.	.	.	pfam00123	Hormone_2	Peptide hormone. This family contains glucagon, GIP, secretin and VIP.	.	GO:0005576|extracellular region;	.	K05259	GCG; glucagon	107.311477	198.8795599	55.62179264	182.6009786	173.0745262	160.4353414	0.0	0.0	0.0	0.0	0.707568316	0.0	93.68734274	22.99891735	135.7088606	64.60648913	100.2256537	186.4057385	0.0	0.383948373	0.0	6.605092611	0.038681622	1.611681807	142.6749597	95.47934083	27.57039865	153.8513326	21.11942715	134.0405553	0.0	2.777552716	0.0	0.28034012	0.0	0.0	51.62748687	153.7150429	82.64755372	146.6149466	55.69730506	25.94181708	0.0	0.0	0.03956819	0.0	0.0	0.0
trak2	protein_coding	chrNC_030685.1:49057888-49088681:-	gi|512866633|ref|XP_004917836.1|	4125	0	PREDICTED: trafficking kinesin-binding protein 2 isoform X1 [Xenopus tropicalis]	gi|847166525|ref|XM_004917779.2|	5092	0	PREDICTED: Xenopus (Silurana) tropicalis trafficking protein, kinesin binding 2 (trak2), transcript variant X1, mRNA	O60296	848	0	Trafficking kinesin-binding protein 2	.	.	.	.	pfam04849	HAP1_N	HAP1 N-terminal conserved region. This family represents an N-terminal conserved region found in several huntingtin-associated protein 1 (HAP1) homologues. HAP1 binds to huntingtin in a polyglutamine repeat-length-dependent manner. However, its possible role in the pathogenesis of Huntington's disease is unclear. This family also includes a similar N-terminal conserved region from hypothetical protein products of ALS2CR3 genes found in the human juvenile amyotrophic lateral sclerosis critical region 2q33-2q34.	GO:0006493|protein O-linked glycosylation;GO:0006605|protein targeting;GO:0006357|regulation of transcription from RNA polymerase II promoter;	GO:0005737|cytoplasm;GO:0005769|early endosome;GO:0005739|mitochondrion;GO:0005634|nucleus;GO:0005886|plasma membrane;	GO:0050811|GABA receptor binding;GO:0005102|receptor binding;	K15374	TRAK2, GRIF1; trafficking kinesin-binding protein 2	75.21045814	34.20382104	39.32699356	36.02126723	23.06100711	40.82532054	6.525764683	3.748716492	6.950385539	3.82947282	5.191169892	2.350005975	82.61195623	36.80172673	78.53713222	76.04032569	87.1295042	49.42466581	5.244349104	4.121114206	4.601618168	3.131009194	4.924676912	2.837336787	53.61733566	59.64429202	70.6842404	69.95030243	79.04456651	85.28240791	3.302919788	4.988920615	2.901927856	5.993220193	3.243244733	5.639807462	75.28405357	72.52055714	75.84399893	75.8094173	90.57193502	78.68717178	6.38189052	4.389369759	6.330077561	2.62539523	5.283710424	4.797357621
angptl4	protein_coding	chrNC_030677.1:82447884-82456834:+	gi|301618393|ref|XP_002938598.1|	2191	0	PREDICTED: angiopoietin-related protein 4 [Xenopus tropicalis]	gi|847093596|ref|XM_002938552.3|	2548	0	PREDICTED: Xenopus (Silurana) tropicalis angiopoietin-like 4 (angptl4), mRNA	Q9Z1P8	300	3.00E-91	Angiopoietin-related protein 4	.	.	.	.	pfam00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain.	GO:0001525|angiogenesis;GO:0009267|cellular response to starvation;GO:0043066|negative regulation of apoptotic process;GO:2000352|negative regulation of endothelial cell apoptotic process;GO:0051005|negative regulation of lipoprotein lipase activity;GO:0045834|positive regulation of lipid metabolic process;GO:0051260|protein homooligomerization;GO:0001666|response to hypoxia;GO:0070328|triglyceride homeostasis;	GO:0072562|blood microparticle;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	GO:0004857|enzyme inhibitor activity;GO:0042802|identical protein binding;	K08767	ANGPTL4, PGAR; angiopoietin-like 4	3.945739405	8.916404184	9.189370072	11.97827742	10.22108356	17.17323813	15.21574826	1.867873897	11.3073258	1.243161195	4.093279008	2.148893604	21.31808338	6.097869833	12.95790252	15.50215337	30.5515011	21.89162213	27.03919442	8.432800167	14.13710452	4.836290988	23.50754102	7.058522542	25.47180209	27.24335667	17.62121775	20.79151965	20.36868415	41.58816164	13.09371773	18.81877355	4.186465275	25.84616142	15.3476924	22.57937202	26.12291059	12.70157062	10.55989456	10.8835224	14.95080032	16.85295525	19.0246418	10.8488612	26.81642431	4.055191921	24.89104773	27.82476162
mmp15	protein_coding	chrNC_030680.1:27645917-27683484:+	gi|62860164|ref|NP_001015921.1|	3159	0	matrix metalloproteinase-15 [Xenopus tropicalis]	gi|77682534|ref|NM_001015921.2|	3469	0	Xenopus tropicalis matrix metallopeptidase 15 (mmp15), mRNA	P51511	786	0	Matrix metalloproteinase-15	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0006464|cellular protein modification process;GO:0030574|collagen catabolic process;GO:0035987|endodermal cell differentiation;GO:0022617|extracellular matrix disassembly;GO:0006508|proteolysis;GO:0032355|response to estradiol;	GO:0031012|extracellular matrix;GO:0005887|integral component of plasma membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0008047|enzyme activator activity;GO:0070006|metalloaminopeptidase activity;GO:0004222|metalloendopeptidase activity;GO:0004252|serine-type endopeptidase activity;GO:0008270|zinc ion binding;	K07995	MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-]	12.45086044	8.086168686	8.297001899	10.95538764	6.517352046	8.557129185	4.176572094	1.350761624	3.854413005	2.068093497	2.285215972	1.64132173	19.32427977	10.76288089	15.58944805	16.32009647	14.20087108	12.28513476	3.456577315	2.75561913	4.404626383	1.637011414	3.997730589	1.465169956	13.88397225	12.84447164	14.27721977	14.39716826	19.94412102	20.75399503	1.519665709	3.628106754	1.987205256	3.725105493	2.475882257	2.629375567	15.39544247	16.29704694	16.63130306	16.2052588	20.88923417	21.28342905	2.823259149	1.994418627	4.804994539	1.667374637	3.643917818	2.54823324
adamts1	protein_coding	chrNC_030678.1:13984311-13993034:+	gi|188528959|ref|NP_001120905.1|	4938	0	A disintegrin and metalloproteinase with thrombospondin motifs 1 precursor [Xenopus tropicalis]	gi|188528958|ref|NM_001127433.1|	4466	0	Xenopus tropicalis ADAM metallopeptidase with thrombospondin type 1 motif 1 (adamts1), mRNA	Q9UHI8	1370	0	A disintegrin and metalloproteinase with thrombospondin motifs 1	.	.	.	.	pfam05986	ADAM_spacer1	ADAM-TS Spacer 1. This family represents the Spacer-1 region from the ADAM-TS family of metalloproteinases.	GO:0060347|heart trabecula formation;GO:0007229|integrin-mediated signaling pathway;GO:0001822|kidney development;GO:0008285|negative regulation of cell proliferation;GO:0001542|ovulation from ovarian follicle;	GO:0005604|basement membrane;GO:0005737|cytoplasm;GO:0031410|cytoplasmic vesicle;	GO:0008201|heparin binding;GO:0004222|metalloendopeptidase activity;GO:0008237|metallopeptidase activity;GO:0008270|zinc ion binding;	K08617	ADAMTS1; a disintegrin and metalloproteinase with thrombospondin motifs 1 [EC:3.4.24.-]	10.45270254	6.443738514	6.848347951	8.628051665	10.347726	6.058218017	6.594368166	0.949489681	5.991166945	1.778414174	2.900746866	1.038749332	4.910522011	20.47973099	4.912198874	4.539075408	2.67045166	5.317641893	2.227723685	6.510779647	3.625622874	1.609817941	3.113918143	1.291417099	4.368959789	3.153274716	3.798635485	3.909687332	5.578756581	2.6724549	2.25979135	13.94372069	2.415845126	3.935918655	3.437222237	14.75231441	3.285435756	5.214654849	8.653962375	3.009806312	4.17646159	5.182380674	1.976215669	2.65091887	4.034698086	0.842049222	3.201855193	2.131901224
tnfsf10l	protein_coding	chrNC_030684.1:18400127-18406521:+	gi|512858823|ref|XP_004916844.1|	1763	0	PREDICTED: tumor necrosis factor ligand superfamily member 10-like isoform X1 [Xenopus tropicalis]	gi|847156288|ref|XM_004916787.2|	1953	0	PREDICTED: Xenopus (Silurana) tropicalis tumor necrosis factor ligand superfamily member 10-like (LOC100497331), transcript variant X1, mRNA	P50591	130	3.00E-32	Tumor necrosis factor ligand superfamily member 10	.	.	.	.	pfam00229	TNF	TNF(tumor Necrosis Factor) family.	GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0097296|activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0006915|apoptotic process;GO:0007166|cell surface receptor signaling pathway;GO:0007267|cell-cell signaling;GO:0006955|immune response;GO:0008584|male gonad development;GO:1902042|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0043065|positive regulation of apoptotic process;GO:0043280|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:2001238|positive regulation of extrinsic apoptotic signaling pathway;GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0090200|positive regulation of release of cytochrome c from mitochondria;GO:1902041|regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0032868|response to insulin;GO:0007165|signal transduction;	GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0046872|metal ion binding;GO:0005102|receptor binding;	K04721	TNFSF10, TRAIL; tumor necrosis factor ligand superfamily member 10	114.9281128	52.85094988	103.9682216	41.01956768	37.21758406	51.67253849	10.53699152	2.364898031	11.37579092	2.023353601	4.800384278	2.393933694	84.77999162	150.1912159	83.66733913	83.96051927	104.2875673	67.63023188	10.04488829	4.167738304	13.1590167	3.880681839	10.18553666	5.945470115	67.16571931	104.7925493	75.61691608	77.15429507	67.96439225	60.39326783	2.693460454	7.843757956	3.258792318	11.06511509	4.239001176	4.485114055	90.20885414	77.39763969	107.0097992	130.2759355	123.9934177	163.1527562	15.8233131	6.875245722	11.71758346	5.910520481	15.97124577	14.45279008
apoe	protein_coding	chrNC_030683.1:101372175-101377797:+	gi|49522289|gb|AAH75258.1|	1238	1.00E-164	apoe protein, partial [Xenopus tropicalis]	gi|847105036|ref|XM_002941039.3|	1749	0	PREDICTED: Xenopus (Silurana) tropicalis apolipoprotein E (apoe), transcript variant X4, mRNA	O42364	132	3.00E-33	Apolipoprotein Eb	.	.	.	.	pfam01442	Apolipoprotein	Apolipoprotein A1/A4/E domain. These proteins contain several 22 residue repeats which form a pair of alpha helices. This family includes: Apolipoprotein A-I. Apolipoprotein A-IV, and Apolipoprotein E.	GO:0006695|cholesterol biosynthetic process;GO:0006707|cholesterol catabolic process;GO:0033344|cholesterol efflux;GO:0042632|cholesterol homeostasis;GO:0034380|high-density lipoprotein particle assembly;GO:0042159|lipoprotein catabolic process;GO:0043524|negative regulation of neuron apoptotic process;GO:0031102|neuron projection regeneration;GO:0033700|phospholipid efflux;GO:0010873|positive regulation of cholesterol esterification;GO:0046889|positive regulation of lipid biosynthetic process;GO:0051000|positive regulation of nitric-oxide synthase activity;GO:0030516|regulation of axon extension;GO:1900221|regulation of amyloid-beta clearance;GO:0032374|regulation of cholesterol transport;GO:0043691|reverse cholesterol transport;GO:0019433|triglyceride catabolic process;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0072562|blood microparticle;GO:0042627|chylomicron;GO:0034364|high-density lipoprotein particle;GO:0034363|intermediate-density lipoprotein particle;	GO:0001540|amyloid-beta binding;GO:0015485|cholesterol binding;GO:0017127|cholesterol transporter activity;GO:0050750|low-density lipoprotein particle receptor binding;GO:0060228|phosphatidylcholine-sterol O-acyltransferase activator activity;GO:0005543|phospholipid binding;GO:0070326|very-low-density lipoprotein particle receptor binding;	K04524	APOE; apolipoprotein E	2055.931616	2599.799535	2724.999701	3142.588815	2614.170057	2926.964323	70.98252282	3.029478968	25.74059487	9.190922897	56.80650823	2.431168701	1261.710058	999.2599123	2743.295921	2011.677539	2480.313061	3800.084781	292.3821532	28.56098168	179.8572745	6.905785257	223.0290021	5.409628908	3554.078237	2435.083131	2953.122451	3431.615096	639.2657006	2299.234547	5.238617877	205.569687	13.20448792	194.387364	70.60455853	84.0364962	2244.209847	3657.072591	1906.537199	2642.580362	1660.987483	2525.324847	77.07327703	4.544566532	86.41694773	4.411912251	77.83412487	49.31578744
