GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Lmus1	Lmus2	Lmus3	Lmus4	Lmus5	Lmus6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMmus1	LMmus2	LMmus3	LMmus4	LMmus5	LMmus6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mmus1	Mmus2	Mmus3	Mmus4	Mmus5	Mmus6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLmus1	MLmus2	MLmus3	MLmus4	MLmus5	MLmus6
pdlim2	protein_coding	chrNC_030679.1:119562823-119570334:+	gi|301606299|ref|XP_002932747.1|	807	1.00E-102	PREDICTED: PDZ and LIM domain protein 2 [Xenopus tropicalis]	gi|847111239|ref|XM_002932701.3|	1268	0	PREDICTED: Xenopus (Silurana) tropicalis PDZ and LIM domain 2 (mystique) (pdlim2), transcript variant X1, mRNA	Q8R1G6	155	7.00E-41	PDZ and LIM domain protein 2	.	.	.	.	pfam00412	LIM	LIM domain. This family represents two copies of the LIM structural domain.	.	GO:0015629|actin cytoskeleton;GO:0030864|cortical actin cytoskeleton;GO:0070062|extracellular exosome;GO:0005925|focal adhesion;GO:0001725|stress fiber;	GO:0008270|zinc ion binding;	.	.	10.68406375	28.96593264	18.7360186	24.37991138	13.79438971	28.07242418	1.219140552	0.42166789	1.021726171	0.712300566	1.200904002	1.637664938	4.974301654	7.539441229	14.52044277	5.979781689	6.64323118	22.11138382	0.420240691	0.717748781	0.273362051	0.691299294	0.355532498	1.064690858	12.90204257	19.19177236	8.215228968	9.943822901	11.35943536	11.65551979	0.799413173	0.519461984	0.130685558	1.784222825	0.301336118	0.705745761	5.910102899	22.91947374	16.75245937	19.02958791	14.98875034	7.659014954	0.688681431	0.489544264	0.963510832	1.072155989	2.792177926	1.380366704
gcg	protein_coding	chrNC_030685.1:66971964-66989004:+	gi|55742077|ref|NP_001006913.1|	1426	0	glucagon precursor [Xenopus tropicalis]	gi|55742076|ref|NM_001006912.1|	1344	0	Xenopus (Silurana) tropicalis glucagon (gcg), mRNA	O42143	298	6.00E-101	Glucagon-1	.	.	.	.	pfam00123	Hormone_2	Peptide hormone. This family contains glucagon, GIP, secretin and VIP.	.	GO:0005576|extracellular region;	.	K05259	GCG; glucagon	107.311477	198.8795599	55.62179264	182.6009786	173.0745262	160.4353414	0.042964812	0.0	0.043509131	0.0	0.0	0.0	93.68734274	22.99891735	135.7088606	64.60648913	100.2256537	186.4057385	0.04772135	0.086299975	0.0	0.0	0.0	0.0	142.6749597	95.47934083	27.57039865	153.8513326	21.11942715	134.0405553	0.043000631	0.044241481	0.0	0.044475656	0.0	0.042428384	51.62748687	153.7150429	82.64755372	146.6149466	55.69730506	25.94181708	0.043990158	0.041693452	0.042814009	0.0	0.0	0.041492795
lox	protein_coding	chrNC_030677.1:161282725-161308889:+	gi|847088760|ref|XP_012821089.1|	2238	0	PREDICTED: protein-lysine 6-oxidase isoform X1 [Xenopus tropicalis]	gi|847088759|ref|XM_012965635.1|	3274	0	PREDICTED: Xenopus (Silurana) tropicalis lysyl oxidase (lox), transcript variant X1, mRNA	P16636	552	0	Protein-lysine 6-oxidase	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0035904|aorta development;GO:0030199|collagen fibril organization;GO:0048251|elastic fiber assembly;GO:0007507|heart development;GO:0030324|lung development;GO:0042493|response to drug;GO:0009725|response to hormone;GO:0048545|response to steroid hormone;GO:0042060|wound healing;	GO:0005581|collagen trimer;GO:0005615|extracellular space;GO:0005634|nucleus;GO:0005578|proteinaceous extracellular matrix;	GO:0005507|copper ion binding;GO:0004720|protein-lysine 6-oxidase activity;	K00277	LOX; protein-lysine 6-oxidase [EC:1.4.3.13]	2.164536876	4.00687793	2.230373047	3.312839259	1.857003348	3.264095594	5.581701893	6.539704571	3.736069987	4.999666007	5.545201067	5.745696888	1.669422363	3.691618864	1.228623819	1.571636578	1.376136942	1.707253737	2.437465182	3.545522608	2.205975506	2.827456786	3.285346013	3.255500418	2.529515181	1.002325793	2.081361162	1.76558601	1.630403715	1.27209112	4.854240406	3.307711595	1.268822314	4.444600598	2.230886415	2.386968495	2.688791158	3.594413105	2.453024397	3.408976002	3.56180915	2.957861971	4.51005566	3.657318717	5.324413609	8.095724634	8.977713816	9.552338084
penk	protein_coding	chrNC_030682.1:100990380-100999169:-	gi|349585135|ref|NP_001015744.2|	1414	0	proenkephalin-A preproprotein [Xenopus tropicalis]	gi|349585134|ref|NM_001015744.2|	1390	0	Xenopus (Silurana) tropicalis proenkephalin (penk), mRNA	P01212	511	3.00E-180	Proenkephalin-A-A	.	.	.	.	pfam01160	Opiods_neuropep	Vertebrate endogenous opioids neuropeptide.	GO:0007218|neuropeptide signaling pathway;	GO:0005576|extracellular region;	.	.	.	14.50992182	27.00043472	15.64786997	15.0874932	9.971773433	23.46475682	0.092667989	0.046474475	0.187683992	0.261689321	0.045640906	0.180496596	27.12378768	28.17690979	21.35247329	24.30842993	26.8033554	31.392888	0.051463528	0.046533692	0.150644123	0.142860232	0.055979012	0.14668223	28.26677015	24.74034678	19.37238132	24.42440003	35.38424414	35.21129917	0.231863116	0.0	0.144036168	0.095926632	0.094891456	0.091511003	16.46072253	19.28277719	18.93183975	23.10508297	23.55155438	8.839211202	0.0	0.134888815	0.600227768	0.136348338	0.395668543	0.268479279
col5a1	protein_coding	chrNW_016683374.1:960968-1101225:+	gi|512857820|ref|XP_004916702.1|	1961	0	PREDICTED: collagen alpha-1(V) chain isoform X1 [Xenopus tropicalis]	gi|847157796|ref|XM_004916645.2|	10830	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 1 (col5a1), transcript variant X1, mRNA	P20908	65.1	1.00E-08	Collagen alpha-1(V) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001568|blood vessel development;GO:0007155|cell adhesion;GO:0016477|cell migration;GO:0032964|collagen biosynthetic process;GO:0030574|collagen catabolic process;GO:0030199|collagen fibril organization;GO:0030198|extracellular matrix organization;GO:0048592|eye morphogenesis;GO:0003007|heart morphogenesis;GO:0045112|integrin biosynthetic process;GO:1903225|negative regulation of endodermal cell differentiation;GO:0051128|regulation of cellular component organization;GO:0043588|skin development;GO:0035989|tendon development;GO:0035313|wound healing, spreading of epidermal cells;	GO:0005604|basement membrane;GO:0005588|collagen type V trimer;GO:0005788|endoplasmic reticulum lumen;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;GO:0008201|heparin binding;GO:0005178|integrin binding;GO:0046872|metal ion binding;GO:0048407|platelet-derived growth factor binding;GO:0043394|proteoglycan binding;	.	.	9.257549984	8.652990841	5.354237686	13.8278555	5.74740833	12.2919576	16.30368459	10.63305991	6.464922812	14.60609501	13.92505464	21.50618752	7.121752178	7.913073017	5.204888163	4.963593714	4.872470215	7.036488259	5.799197198	3.598022719	5.378413729	4.973749016	3.533630463	9.866562485	10.97970406	3.289334444	8.791952543	4.910386898	11.15377323	5.861984565	13.11965496	7.275262624	4.047049435	8.116280045	3.524206026	6.147743593	5.645785359	13.57127362	9.744454229	13.39526567	9.095461682	8.554391279	6.061351175	13.4902346	7.526278031	25.17541211	17.77092739	17.08366511
thbs2	protein_coding	chrNC_030681.1:40393813-40426951:+	gi|847131343|ref|XP_012819195.1|	5795	0	PREDICTED: thrombospondin-2 [Xenopus tropicalis]	gi|847131342|ref|XM_012963741.1|	3801	0	PREDICTED: Xenopus (Silurana) tropicalis thrombospondin 2 (thbs2), mRNA	P35440	1880	0	Thrombospondin-2	.	.	.	.	pfam05735	TSP_C	Thrombospondin C-terminal region. This region is found at the C-terminus of thrombospondin and related proteins.	GO:0007155|cell adhesion;GO:0016525|negative regulation of angiogenesis;	GO:0031012|extracellular matrix;	GO:0005509|calcium ion binding;GO:0008201|heparin binding;	K04659	THBS2S; thrombospondin 2/3/4/5	3.820375008	17.96845247	3.906633112	5.864114664	5.605961802	6.086960133	1.03304218	0.441648051	0.685986719	0.63765125	1.151043733	2.12758642	3.585831471	5.858534213	3.063245324	5.146274481	3.520422578	2.964022789	0.432629239	0.850405356	0.183535219	1.148742017	0.429667988	2.215982919	4.611158554	1.814623478	1.693192505	1.618657378	4.105448395	1.862728747	0.67796946	0.854478312	0.193032958	1.647879791	0.641633918	0.618776086	5.195989791	7.13001585	6.250968878	4.908030744	6.920552727	4.959185638	0.780267188	0.164339954	0.303762187	1.146215187	0.321371593	1.014004045
nppc	protein_coding	chrNC_030681.1:108233022-108239347:-	gi|163915239|ref|NP_001106395.1|	516	8.00E-59	C-type natriuretic peptide precursor [Xenopus tropicalis]	gi|163915238|ref|NM_001112924.1|	1967	0	Xenopus (Silurana) tropicalis natriuretic peptide C (nppc), mRNA	P40756	161	4.00E-45	C-type natriuretic peptide 2	.	.	.	.	pfam00212	ANP	Atrial natriuretic peptide.	GO:0050880|regulation of blood vessel size;	GO:0005576|extracellular region;	.	.	.	9.162773375	18.63012125	17.22104253	36.93197396	36.27603964	37.41866035	0.982271265	1.08377437	0.895244055	1.263656531	0.741809747	1.275497043	3.262517918	5.991332149	7.321259075	8.437683227	3.911363786	16.54206797	0.581875378	0.4932524	0.603240236	0.269209588	0.435139346	0.103654448	9.619858416	4.717169831	8.422132182	5.405524155	1.066696718	6.845639866	1.146938548	0.809167016	1.017845827	1.254068801	0.4693919	0.776005866	8.708548275	16.96148952	9.259637084	6.567123442	4.430134785	6.090158099	0.402285188	0.857884636	1.729255001	2.408797527	2.236824707	0.82213533
cxcl12	protein_coding	chrNC_030683.1:37782394-37841002:-	gi|62751610|ref|NP_001015764.1|	482	3.00E-53	stromal cell-derived factor 1 precursor [Xenopus tropicalis]	gi|62751609|ref|NM_001015764.1|	2962	0	Xenopus (Silurana) tropicalis chemokine (C-X-C motif) ligand 12 (cxcl12), mRNA	Q5EBF6	190	8.00E-55	Stromal cell-derived factor 1	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007411|axon guidance;GO:0060326|cell chemotaxis;GO:0070098|chemokine-mediated signaling pathway;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0050930|induction of positive chemotaxis;GO:0006954|inflammatory response;GO:0007509|mesoderm migration involved in gastrulation;GO:0030335|positive regulation of cell migration;	GO:0009897|external side of plasma membrane;GO:0005615|extracellular space;	GO:0042056|chemoattractant activity;GO:0008009|chemokine activity;GO:0045236|CXCR chemokine receptor binding;	K10031	CXCL12; C-X-C motif chemokine 12	36.76552194	21.0836295	29.93336278	31.49701784	30.61877138	21.16802575	23.35681425	24.5556271	21.46265397	22.08790848	30.01617571	30.51880448	74.57586815	34.43474057	39.86559822	42.72769497	47.49971905	39.21728261	29.93006819	17.35419183	30.32880665	30.71766825	17.89805784	26.03946156	35.93864179	26.36694787	41.31882814	55.08028258	76.83895215	41.71682602	28.44114894	21.86845411	11.7876208	31.05101257	19.4659721	20.95088805	30.54768948	24.46250617	57.18938198	26.90141005	57.53443859	40.76247659	24.71136053	27.42965719	24.11531415	35.44827854	28.58447616	15.74783936
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	90.07461781	106.6334159	46.15469004	242.5756329	62.56311271	187.2446212	662.3396247	522.7597907	245.1875057	1076.404235	399.1975476	1025.377619	68.45725414	253.2787071	36.53975362	38.4771151	38.49839044	73.15776357	165.052945	73.46530817	127.2085991	189.2323738	74.84483919	283.3873306	98.91722155	23.03780125	87.68539664	65.69752082	83.47046633	64.61231403	442.3373783	151.0027621	88.31987874	183.1313099	56.8368172	185.0805957	52.57844372	203.2488471	61.95305862	209.5620042	80.93655079	61.17639658	177.9903106	632.355124	453.1844767	1631.932329	594.6007157	806.9030946
c7	protein_coding	chrNC_030677.1:182893667-182929038:-	gi|847090059|ref|XP_012823262.1|	4152	0	PREDICTED: complement component C7 [Xenopus tropicalis]	gi|847090058|ref|XM_012967808.1|	2014	0	PREDICTED: Xenopus (Silurana) tropicalis complement component 7 (c7), mRNA	Q9TUQ3	841	0	Complement component C7	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0006957|complement activation, alternative pathway;GO:0006958|complement activation, classical pathway;GO:0019835|cytolysis;	GO:0005576|extracellular region;GO:0005579|membrane attack complex;	.	K03996	C7; complement component 7	8.289802313	16.70895447	7.259192697	20.58964601	6.060025837	11.04088789	2.766712383	3.137070489	2.679947926	6.046616706	4.455316256	5.998123713	4.623220666	16.535993	4.351707869	4.599867773	4.344919224	6.728518588	3.901385289	1.570533821	3.102732463	2.348984387	1.278922813	4.163576279	9.882334299	2.599553527	8.11270186	4.48285818	9.843417496	6.473421888	3.828469733	1.684580739	1.495780905	2.714576757	1.453501738	2.518347263	9.552565029	19.30119638	10.64746635	15.31724889	8.269877146	9.477635366	3.768775044	8.451420006	3.644036744	8.991248433	4.770915555	3.113370103
mmp1	protein_coding	chrNC_030678.1:158559069-158569680:+	gi|71896459|ref|NP_001025501.1|	2432	0	matrix metallopeptidase 1 precursor [Xenopus tropicalis]	gi|71896458|ref|NM_001030330.1|	1484	0	Xenopus (Silurana) tropicalis matrix metallopeptidase 1 (mmp1), mRNA	O13065	837	0	Matrix metalloproteinase-18	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0030574|collagen catabolic process;	GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	.	.	57.91726362	679.9648686	462.4826436	1781.744427	1554.735756	1893.771958	0.082728648	1.950017647	0.167553468	0.856610942	0.0	0.241705461	22.85294795	23.57313916	286.1594797	210.8986689	250.4126547	2911.470099	2.435014852	4.195802805	0.089657603	1.530448726	0.04997484	0.043649818	1361.487249	128.9821965	2099.182065	1021.106857	11.25631218	228.2018164	0.289791666	3.961189556	25.71744049	0.256913329	0.635352234	2.53256849	502.033126	1536.790168	171.0635097	974.0686532	196.4520312	954.7489191	0.508217703	0.160561296	0.041219139	1.176664845	0.117743369	0.159788567
adamts1	protein_coding	chrNC_030678.1:13984311-13993034:+	gi|188528959|ref|NP_001120905.1|	4938	0	A disintegrin and metalloproteinase with thrombospondin motifs 1 precursor [Xenopus tropicalis]	gi|188528958|ref|NM_001127433.1|	4466	0	Xenopus tropicalis ADAM metallopeptidase with thrombospondin type 1 motif 1 (adamts1), mRNA	Q9UHI8	1370	0	A disintegrin and metalloproteinase with thrombospondin motifs 1	.	.	.	.	pfam05986	ADAM_spacer1	ADAM-TS Spacer 1. This family represents the Spacer-1 region from the ADAM-TS family of metalloproteinases.	GO:0060347|heart trabecula formation;GO:0007229|integrin-mediated signaling pathway;GO:0001822|kidney development;GO:0008285|negative regulation of cell proliferation;GO:0001542|ovulation from ovarian follicle;	GO:0005604|basement membrane;GO:0005737|cytoplasm;GO:0031410|cytoplasmic vesicle;	GO:0008201|heparin binding;GO:0004222|metalloendopeptidase activity;GO:0008237|metallopeptidase activity;GO:0008270|zinc ion binding;	K08617	ADAMTS1; a disintegrin and metalloproteinase with thrombospondin motifs 1 [EC:3.4.24.-]	10.45270254	6.443738514	6.848347951	8.628051665	10.347726	6.058218017	4.68368362	1.691238292	10.62436705	5.995997791	4.457469218	4.505245926	4.910522011	20.47973099	4.912198874	4.539075408	2.67045166	5.317641893	2.497057834	3.184158179	2.733212722	2.192079279	1.271020439	2.113856464	4.368959789	3.153274716	3.798635485	3.909687332	5.578756581	2.6724549	2.322159178	6.737158853	3.613849955	3.699689914	3.984421955	3.51515695	3.285435756	5.214654849	8.653962375	3.009806312	4.17646159	5.182380674	1.254196911	3.468253331	4.178978771	9.683304971	4.307289018	3.660325583
apoe	protein_coding	chrNC_030683.1:101372175-101377797:+	gi|49522289|gb|AAH75258.1|	1238	1.00E-164	apoe protein, partial [Xenopus tropicalis]	gi|847105036|ref|XM_002941039.3|	1749	0	PREDICTED: Xenopus (Silurana) tropicalis apolipoprotein E (apoe), transcript variant X4, mRNA	O42364	132	3.00E-33	Apolipoprotein Eb	.	.	.	.	pfam01442	Apolipoprotein	Apolipoprotein A1/A4/E domain. These proteins contain several 22 residue repeats which form a pair of alpha helices. This family includes: Apolipoprotein A-I. Apolipoprotein A-IV, and Apolipoprotein E.	GO:0006695|cholesterol biosynthetic process;GO:0006707|cholesterol catabolic process;GO:0033344|cholesterol efflux;GO:0042632|cholesterol homeostasis;GO:0034380|high-density lipoprotein particle assembly;GO:0042159|lipoprotein catabolic process;GO:0043524|negative regulation of neuron apoptotic process;GO:0031102|neuron projection regeneration;GO:0033700|phospholipid efflux;GO:0010873|positive regulation of cholesterol esterification;GO:0046889|positive regulation of lipid biosynthetic process;GO:0051000|positive regulation of nitric-oxide synthase activity;GO:0030516|regulation of axon extension;GO:1900221|regulation of amyloid-beta clearance;GO:0032374|regulation of cholesterol transport;GO:0043691|reverse cholesterol transport;GO:0019433|triglyceride catabolic process;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0072562|blood microparticle;GO:0042627|chylomicron;GO:0034364|high-density lipoprotein particle;GO:0034363|intermediate-density lipoprotein particle;	GO:0001540|amyloid-beta binding;GO:0015485|cholesterol binding;GO:0017127|cholesterol transporter activity;GO:0050750|low-density lipoprotein particle receptor binding;GO:0060228|phosphatidylcholine-sterol O-acyltransferase activator activity;GO:0005543|phospholipid binding;GO:0070326|very-low-density lipoprotein particle receptor binding;	K04524	APOE; apolipoprotein E	2055.931616	2599.799535	2724.999701	3142.588815	2614.170057	2926.964323	5.437178189	1.935170829	15.13278855	4.886957791	18.55541484	34.4359192	1261.710058	999.2599123	2743.295921	2011.677539	2480.313061	3800.084781	3.155925187	3.452516053	5.512404325	33.63673727	2.161411851	14.51056887	3554.078237	2435.083131	2953.122451	3431.615096	639.2657006	2299.234547	6.810915903	3.720453126	3.271409709	1.888229012	3.196901421	1.835951967	2244.209847	3657.072591	1906.537199	2642.580362	1660.987483	2525.324847	24.60226264	3.097691766	4.194653579	22.36578125	32.75112603	11.92461346
pdgfc	protein_coding	chrNC_030677.1:44313746-44463187:+	gi|512816079|ref|XP_002934792.2|	1655	0	PREDICTED: platelet-derived growth factor C [Xenopus tropicalis]	gi|847095119|ref|XM_002934746.3|	3201	0	PREDICTED: Xenopus (Silurana) tropicalis platelet derived growth factor C (pdgfc), mRNA	A8WCC4	521	1.00E-174	Platelet-derived growth factor C	.	.	.	.	pfam00431	CUB	CUB domain.	GO:0009790|embryo development;GO:0048008|platelet-derived growth factor receptor signaling pathway;GO:0051781|positive regulation of cell division;GO:0008284|positive regulation of cell proliferation;	GO:0005576|extracellular region;GO:0016020|membrane;	.	K05450	PDGFC_D; platelet derived growth factor C/D	3.217418705	3.797606722	3.880159296	2.964260666	1.883512036	2.091966498	2.67596551	4.924174654	3.810114033	2.329533642	3.904357812	2.606092292	4.671905784	3.663329817	2.322592798	5.500845032	4.050017955	2.8498376	3.642640297	5.59727188	3.772299521	5.99676762	4.983198831	4.904529539	4.085238835	2.808095759	3.383187222	3.418794964	4.434131449	2.322782893	2.134502442	3.356298894	4.044652004	2.686754813	3.378859154	1.986883705	3.057921981	1.854236058	3.269905496	3.924399691	2.556752623	2.993899652	6.818666904	2.225812941	5.333146247	4.105074602	7.292585061	4.352478832
col12a1	protein_coding	chrNC_030681.1:82007932-82160037:-	gi|512841700|ref|XP_002936246.2|	15050	0	PREDICTED: collagen alpha-1(XII) chain isoform X1 [Xenopus tropicalis]	gi|512841699|ref|XM_002936200.2|	10383	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type XII, alpha 1 (col12a1), transcript variant X1, mRNA	P13944	162	4.00E-38	Collagen alpha-1(XII) chain	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0007155|cell adhesion;	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	.	K08132	COL12A; collagen, type XII, alpha	22.52763635	20.3919362	11.105229	19.28200914	12.74466135	19.17053478	5.269947975	3.836649798	2.96042937	4.45986869	4.700140212	6.959477881	14.68821029	19.87865947	10.85795515	15.99429192	10.41448211	14.09148646	3.041763024	4.190257771	2.652340862	3.43046755	4.24914775	4.834221128	17.71702192	6.469857354	15.25049521	10.29473485	19.17887416	10.41084652	4.680207411	5.080533945	2.152985847	11.46706954	3.721849189	3.489712436	18.17771252	21.66084958	21.49957803	20.67217297	30.57606147	18.30689032	5.04020488	1.804304072	2.276930913	4.499139453	2.779122327	6.787662015
angptl4	protein_coding	chrNC_030677.1:82447884-82456834:+	gi|301618393|ref|XP_002938598.1|	2191	0	PREDICTED: angiopoietin-related protein 4 [Xenopus tropicalis]	gi|847093596|ref|XM_002938552.3|	2548	0	PREDICTED: Xenopus (Silurana) tropicalis angiopoietin-like 4 (angptl4), mRNA	Q9Z1P8	300	3.00E-91	Angiopoietin-related protein 4	.	.	.	.	pfam00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain.	GO:0001525|angiogenesis;GO:0009267|cellular response to starvation;GO:0043066|negative regulation of apoptotic process;GO:2000352|negative regulation of endothelial cell apoptotic process;GO:0051005|negative regulation of lipoprotein lipase activity;GO:0045834|positive regulation of lipid metabolic process;GO:0051260|protein homooligomerization;GO:0001666|response to hypoxia;GO:0070328|triglyceride homeostasis;	GO:0072562|blood microparticle;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005578|proteinaceous extracellular matrix;	GO:0004857|enzyme inhibitor activity;GO:0042802|identical protein binding;	K08767	ANGPTL4, PGAR; angiopoietin-like 4	3.945739405	8.916404184	9.189370072	11.97827742	10.22108356	17.17323813	0.202211154	3.549424218	0.102386479	0.404481858	0.273881262	0.320013097	21.31808338	6.097869833	12.95790252	15.50215337	30.5515011	21.89162213	0.252672189	3.604717447	2.328441019	3.403116119	5.03877017	2.827336438	25.47180209	27.24335667	17.62121775	20.79151965	20.36868415	41.58816164	0.227677205	1.145208446	1.152440092	0.366313236	0.854134828	1.27300138	26.12291059	12.70157062	10.55989456	10.8835224	14.95080032	16.85295525	0.87990675	0.416983609	0.125938383	0.1983508	0.911355854	0.976416009
prf1	protein_coding	chrNW_016683496.1:365689-374562:+	gi|512869777|ref|XP_002942100.2|	2866	0	PREDICTED: perforin-1-like [Xenopus tropicalis]	gi|847165088|ref|XM_002942054.3|	962	0	PREDICTED: Xenopus (Silurana) tropicalis perforin-1-like (LOC100491518), mRNA	P10820	374	3.00E-119	Perforin-1	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0019835|cytolysis;GO:0002357|defense response to tumor cell;GO:0051607|defense response to virus;GO:0002418|immune response to tumor cell;GO:0001771|immunological synapse formation;GO:0051260|protein homooligomerization;	GO:0044194|cytolytic granule;GO:0031904|endosome lumen;GO:0005576|extracellular region;GO:0016021|integral component of membrane;GO:0016020|membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0022829|wide pore channel activity;	K07818	PRF1; perforin 1	19.92357806	3.570128235	5.794201033	3.807526743	5.407563055	8.081843676	0.0	0.03229976	0.065220187	0.121249385	0.09516129	0.313612836	1.547045215	9.351739198	2.751394635	3.390769196	1.817398244	2.556576604	0.0	0.064681831	0.0	0.099287861	0.11671624	0.0	2.380348183	1.855734611	2.078109036	2.051918002	3.209000209	2.341804107	0.064457946	0.06631798	0.0	0.0	0.0	0.0	2.814167375	2.155490863	3.548124574	4.799633379	3.473854271	5.989670491	0.032970624	0.124996969	0.0641782	0.157936825	0.061108808	0.279889649
