GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	Lski1	Lski2	Lski3	Lski4	Lski5	Lski6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	LMski1	LMski2	LMski3	LMski4	LMski5	LMski6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	Mski1	Mski2	Mski3	Mski4	Mski5	Mski6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6	MLski1	MLski2	MLski3	MLski4	MLski5	MLski6
nampt	protein_coding	chrNC_030679.1:67220810-67247172:+	gi|58332628|ref|NP_001011388.1|	2559	0	nicotinamide phosphoribosyltransferase [Xenopus tropicalis]	gi|89886121|ref|NM_001011388.2|	2507	0	Xenopus (Silurana) tropicalis nicotinamide phosphoribosyltransferase (nampt), mRNA	Q52I78	887	0	Nicotinamide phosphoribosyltransferase	PM0999	392	7.00E-126	COG1488	pfam04095	NAPRTase	Nicotinate phosphoribosyltransferase (NAPRTase) family. Nicotinate phosphoribosyltransferase (EC:2.4.2.11) is the rate limiting enzyme that catalyses the first reaction in the NAD salvage synthesis. This family also includes Pre-B cell enhancing factor that is a cytokine. This family is related to Quinolinate phosphoribosyltransferase pfam01729.	GO:0032922|circadian regulation of gene expression;GO:0009435|NAD biosynthetic process;GO:0051770|positive regulation of nitric-oxide synthase biosynthetic process;GO:0045944|positive regulation of transcription from RNA polymerase II promoter;	GO:0030054|cell junction;GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005654|nucleoplasm;	GO:0047280|nicotinamide phosphoribosyltransferase activity;GO:0004514|nicotinate-nucleotide diphosphorylase (carboxylating) activity;	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	9.681400582	18.05186853	14.23478596	16.7934776	10.64566749	12.82325226	8.339498003	13.22248917	19.1628204	17.08639154	4.020985223	13.48076505	21.71079934	19.59878594	13.91800782	25.18402879	13.29525266	10.25166421	13.78295201	15.91694365	8.603595131	13.23908873	10.74198995	7.847685027	18.04135947	39.97585583	78.12246913	14.77266615	23.70469058	23.87039629	13.66237991	14.11089395	19.70731117	13.1003332	11.34390631	13.38188149	22.5698011	13.70940355	10.28477068	19.26914179	10.79107152	12.35016104	10.32828189	11.09096628	10.83675072	12.39160078	10.14434934	9.339337841
col6a3	protein_coding	chrNC_030685.1:55178804-55266755:-	gi|512867316|ref|XP_002932067.2|	11604	0	PREDICTED: collagen alpha-3(VI) chain isoform X1 [Xenopus tropicalis]	gi|847166752|ref|XM_002932021.3|	11067	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type VI, alpha 3 (col6a3), transcript variant X1, mRNA	P15989	1061	0	Collagen alpha-3(VI) chain	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0007155|cell adhesion;	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0004867|serine-type endopeptidase inhibitor activity;	.	.	104.5756243	47.80702258	48.23168015	57.18080142	53.32286186	39.55286966	42.1601257	56.29151677	27.04322446	79.52515548	33.81717737	63.36645331	45.03235437	37.27215921	43.83332535	22.64806359	43.01697887	49.03809794	24.16643541	7.65968063	15.55345771	17.71100279	21.48048395	30.37618004	39.31752366	34.43774376	26.21966363	40.99145882	26.92763449	27.47591468	37.79132524	19.59589009	27.39266902	27.07571565	11.88747872	37.91036232	33.50845879	81.90197283	38.52051187	67.02944209	41.86690583	47.5743703	22.37840052	59.08080481	23.30716902	53.43672895	34.90031507	46.17817387
abcb6	protein_coding	chrNC_030685.1:77841741-77861436:-	gi|118404630|ref|NP_001072643.1|	3835	0	ATP-binding cassette sub-family B member 6, mitochondrial [Xenopus tropicalis]	gi|118404629|ref|NM_001079175.1|	5558	0	Xenopus tropicalis ATP binding cassette subfamily B member 6 (Langereis blood group) (abcb6), mRNA	Q08D64	1481	0	ATP-binding cassette sub-family B member 6, mitochondrial	YPO2588	494	2.00E-154	COG5265	pfam00005	ABC_tran	ABC transporter. ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes. ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporters are composed of two copies of this domain and two copies of a transmembrane domain pfam00664. These four domains may belong to a single polypeptide or belong in different polypeptide chains.	GO:0006879|cellular iron ion homeostasis;GO:0055085|transmembrane transport;	GO:0005783|endoplasmic reticulum;GO:0005794|Golgi apparatus;GO:0016021|integral component of membrane;GO:0005743|mitochondrial inner membrane;GO:0005741|mitochondrial outer membrane;GO:0005886|plasma membrane;	GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;	K05661	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	11.99594151	14.46992984	14.82774519	11.11518199	16.39400657	20.39835464	4.322539245	4.169262269	9.413798607	3.276954975	4.329984737	3.054868276	9.499835449	7.65180919	15.90853149	11.5234063	14.63996178	14.36406067	5.381119809	6.302892508	5.852706963	3.685072662	5.42492391	3.172622134	9.446870126	7.506724587	7.104767038	11.34251554	10.34071025	10.82752546	3.574110628	1.837701751	2.404906039	2.195195668	3.169697031	2.221861321	12.39135957	8.58271131	12.16732034	9.40002139	12.52390506	13.03806057	4.347903175	2.648683507	2.781141509	3.433099494	3.923280053	3.177339168
bpi	protein_coding	chrNC_030686.1:30711073-30727760:-	gi|166795971|ref|NP_001107736.1|	2371	0	bactericidal/permeability-increasing protein precursor [Xenopus tropicalis]	gi|166795970|ref|NM_001114264.1|	1586	0	Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), mRNA	P17453	410	2.00E-136	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;	GO:0005615|extracellular space;GO:0016020|membrane;	GO:0001530|lipopolysaccharide binding;	.	.	7.237986497	6.012536554	5.077772599	10.93066115	6.140489799	6.593742915	63.29130618	26.61904718	35.87038796	25.91022186	34.4723519	31.77491054	10.04625549	6.804142711	5.198072665	9.197868088	7.846298096	3.608053287	48.58902889	36.2335762	28.02340554	31.13817938	53.43163229	31.06211489	11.6212476	17.44075223	10.66330611	10.29380563	20.23695798	16.11570873	49.67204032	52.06866955	69.84089883	53.14601297	50.89772319	42.56556888	14.1388448	7.476022231	8.274575164	7.297256424	7.09232301	7.910271691	61.26045463	18.15778845	70.51925785	38.41324612	74.18487308	78.6901329
bpi	protein_coding	chrNC_030686.1:30827952-30849637:-	gi|847168170|ref|XP_012827185.1|	2355	0	PREDICTED: bactericidal permeability-increasing protein isoform X1 [Xenopus tropicalis]	gi|847168169|ref|XM_012971731.1|	2487	0	PREDICTED: Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), transcript variant X1, mRNA	P17213	394	9.00E-128	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;GO:0032715|negative regulation of interleukin-6 production;GO:0032717|negative regulation of interleukin-8 production;GO:0043031|negative regulation of macrophage activation;GO:0032720|negative regulation of tumor necrosis factor production;	GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0001530|lipopolysaccharide binding;	.	.	9.431415454	14.3960963	5.678364755	21.91591628	4.218593851	7.621651056	4.906388977	7.994441225	5.179056991	6.302432614	2.402379041	5.159793378	15.66321134	12.0325614	5.354973484	15.88548105	13.64527751	6.237800545	6.510392437	14.29072516	5.375521277	9.296387871	10.04443054	9.142773393	17.36546714	23.52055991	23.66865657	12.91558838	48.74831524	24.63689842	14.05784231	8.866393982	13.04497749	9.606066112	9.798046242	13.28342157	17.39463526	10.46569979	9.751700546	5.811397326	6.608750282	7.138645735	8.276417081	5.260116484	7.853697252	4.424611915	5.682612567	6.605594425
pdgfrl	protein_coding	chrNC_030677.1:33242606-33275149:+	gi|71896169|ref|NP_001025586.1|	1907	0	platelet-derived growth factor receptor-like protein precursor [Xenopus tropicalis]	gi|402766827|ref|NM_001030415.2|	1597	0	Xenopus (Silurana) tropicalis platelet-derived growth factor receptor-like (pdgfrl), mRNA	Q15198	540	0	Platelet-derived growth factor receptor-like protein	.	.	.	.	pfam07679	I-set	Immunoglobulin I-set domain.	.	GO:0005576|extracellular region;	GO:0004992|platelet activating factor receptor activity;GO:0005019|platelet-derived growth factor beta-receptor activity;	.	.	79.79185657	53.223072	68.60709973	42.19768855	52.89087629	42.25696306	80.42243011	159.2441454	54.2692195	115.1825212	169.2736292	96.18505695	49.19623081	23.14190079	48.93876364	38.28295092	37.95461394	58.0320606	60.06303108	31.89213498	50.29084776	47.14919478	59.93814591	79.08058102	44.90788376	49.79548031	23.46605096	41.23235494	33.15794609	43.75862578	70.93352539	50.92467119	50.32102608	61.98087022	35.48944206	95.54446492	50.51747088	73.57408756	47.16568412	67.49602721	62.42985175	60.96711312	55.45044997	102.1728668	80.84086796	87.83400288	80.08548029	73.82212206
nell2	protein_coding	chrNC_030679.1:54574219-54690283:+	gi|148235875|ref|NP_001090754.1|	4339	0	protein kinase C-binding protein NELL2 precursor [Xenopus tropicalis]	gi|148235874|ref|NM_001097285.1|	3892	0	Xenopus (Silurana) tropicalis neural EGFL like 2 (nell2), mRNA	A2VCU8	1675	0	Protein kinase C-binding protein NELL2	.	.	.	.	pfam12947	EGF_3	EGF domain. This family includes a variety of EGF-like domain homologues. This family includes the C-terminal domain of the malaria parasite MSP1 protein.	.	GO:0005576|extracellular region;	GO:0005509|calcium ion binding;	.	.	52.10046136	26.99226559	26.17602972	21.63869786	41.23834161	18.27919922	2.634199243	3.731500961	2.971261615	1.95129528	0.779559865	2.12121996	25.92686736	15.82123857	30.51063404	11.64748415	29.79493187	19.77702171	0.865521502	1.047745927	2.000266062	0.840924741	2.917973492	0.847835195	23.85707966	15.33051312	11.96093973	34.15278289	12.71011661	18.89480934	0.351656568	0.575420013	0.840012359	1.905969042	1.367149104	1.973968743	22.59746802	42.38291273	38.45962523	42.5748635	43.18213963	44.62881215	2.713657638	3.144836574	1.285155455	1.355928003	4.35554109	3.871622681
dcn	protein_coding	chrNC_030679.1:46045982-46203793:-	gi|154147680|ref|NP_001093704.1|	1756	0	decorin precursor [Xenopus tropicalis]	gi|847107955|ref|XM_012958377.1|	2934	0	PREDICTED: Xenopus (Silurana) tropicalis decorin (dcn), transcript variant X2, mRNA	Q9DE68	533	2.00E-180	Decorin	alr0124_1	60.8	1.00E-08	COG4886	pfam13855	LRR_8	Leucine rich repeat.	.	GO:0005578|proteinaceous extracellular matrix;	.	K04660	DCN; decorin	399.4261036	189.2468867	236.7016491	212.0043463	241.7685339	164.2122303	226.5693541	366.8245666	154.4154508	527.5374573	210.5246605	370.9325179	262.5348481	133.9064315	235.9154132	116.6302376	196.4109623	211.6774458	160.57304	36.83723089	127.6797233	129.2505217	136.5193155	327.2005063	186.9345786	180.598545	110.9414101	212.8489899	113.2966092	124.3863619	263.6901023	128.4046371	217.8435381	207.2502824	79.81261893	265.6028771	169.0626025	309.1039296	188.3053828	306.5370747	252.8036368	211.8684277	140.1899836	345.3757205	179.3913568	340.6548444	192.8146385	194.7254025
nts	protein_coding	chrNC_030679.1:44633863-44647710:+	gi|301615298|ref|XP_002937110.1|	807	9.00E-105	PREDICTED: neurotensin/neuromedin N [Xenopus tropicalis]	gi|847113852|ref|XM_002937064.3|	1018	0	PREDICTED: Xenopus (Silurana) tropicalis neurotensin (nts), mRNA	P01156	215	4.00E-67	Neurotensin/neuromedin N	.	.	.	.	pfam07421	Pro-NT_NN	Neurotensin/neuromedin N precursor. This family contains the precursor of bacterial neurotensin/neuromedin N (approximately 170 residues long). This the common precursor of two biologically active related peptides, neurotensin and neuromedin N. It undergoes tissue-specific processing leading to the formation in some tissues and cancer cell lines of large peptides ending with the neurotensin or neuromedin N sequence.	GO:0050880|regulation of blood vessel size;	GO:0043679|axon terminus;GO:0005576|extracellular region;GO:0030133|transport vesicle;	GO:0005184|neuropeptide hormone activity;	K05235	NTS; neurotensin	4.935833181	4.292087701	6.516286631	3.038052439	6.317932507	4.118612384	0.189448785	0.180781813	0.245305396	0.125521919	0.200588503	0.305491222	7.035126582	5.842937913	7.643099116	12.76727737	9.066932032	10.53667608	0.128484973	0.181071566	0.152877726	0.187250448	0.067439244	1.539927702	12.3299678	6.968171037	12.72353281	11.2341473	10.60683036	9.672217648	0.246776539	0.067300586	1.190994967	0.31984225	0.245428644	0.122884302	5.664276452	2.953585049	3.947581071	10.46970851	9.72992591	15.45847294	0.0	0.308070196	0.12883764	0.452269683	0.439089636	0.268037759
loxl1	protein_coding	chrNC_030679.1:82947858-82954271:+	gi|156717522|ref|NP_001096301.1|	2232	0	lysyl oxidase homolog 1 precursor [Xenopus tropicalis]	gi|156717521|ref|NM_001102831.1|	2300	0	Xenopus tropicalis lysyl oxidase like 1 (loxl1), mRNA	Q08397	84.3	2.00E-15	Lysyl oxidase homolog 1	.	.	.	.	pfam01186	Lysyl_oxidase	Lysyl oxidase.	GO:0035904|aorta development;GO:0030198|extracellular matrix organization;GO:0055114|oxidation-reduction process;GO:0018277|protein deamination;GO:0032496|response to lipopolysaccharide;	GO:0001669|acrosomal vesicle;GO:0005604|basement membrane;GO:0005576|extracellular region;GO:0005615|extracellular space;	GO:0005507|copper ion binding;GO:0016641|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor;	K14678	LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]	89.80373053	65.16210656	53.94202924	99.44175177	71.16740335	53.85450739	17.04890994	27.59815309	15.84632385	24.15776423	12.0640528	21.01355132	47.74236174	61.83550853	44.36648121	44.43502561	50.55486528	66.21360715	10.50368841	7.260159981	10.14808052	7.452291402	11.80751944	9.661826025	64.10389052	50.72210248	50.99059459	64.51011704	59.6582394	64.26534419	11.51625633	7.675598269	11.28988759	10.60137482	6.587728942	18.7230215	50.649615	79.53237308	64.73459236	77.42266552	68.46337819	67.41854201	15.47787571	30.38650311	18.10904492	29.82034163	19.03074022	17.55362177
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	1225.081838	416.9277648	478.2835045	575.4217331	550.4320908	351.797982	990.4313191	2228.003505	313.663733	2434.00497	3630.414817	1044.302325	607.5394002	286.0730904	346.6765686	163.6361132	339.916802	488.2557109	325.4610679	60.38021939	119.9768908	106.7627841	298.962926	521.179893	345.2307891	370.6000042	176.9848916	376.1744316	207.7227817	265.5579626	579.2668529	139.0357216	254.0230798	351.677976	54.41783541	907.5736055	279.6461759	875.5719524	441.0020192	574.1817534	435.2231819	425.5357361	174.1416209	1715.380225	199.5130481	1567.502894	408.5550102	683.2856078
mfap2	protein_coding	chrNW_016684479.1:8254-11049:-	gi|45360653|ref|NP_989000.1|	251	5.00E-23	microfibrillar-associated protein 2 precursor [Xenopus tropicalis]	gi|45360652|ref|NM_203669.1|	653	0	Xenopus tropicalis microfibrillar associated protein 2 (mfap2), mRNA	P55001	94	6.00E-22	Microfibrillar-associated protein 2	.	.	.	.	pfam05507	MAGP	Microfibril-associated glycoprotein (MAGP). This family consists of several mammalian microfibril-associated glycoprotein (MAGP) 1 and 2 proteins. MAGP1 and 2 are components of elastic fibres. MAGP-1 has been proposed to bind a C-terminal region of tropoelastin, the soluble precursor of elastin. MAGP-2 was found to interact with fibrillin-1 and -2, as well as fibulin-1, another component of elastic fibres this suggests that MAGP-2 may be important in the assembly of microfibrils.	GO:0048048|embryonic eye morphogenesis;GO:0030198|extracellular matrix organization;GO:0048050|post-embryonic eye morphogenesis;	GO:0005576|extracellular region;GO:0001527|microfibril;	.	.	.	12.80865211	6.06319478	3.274660242	13.05999566	7.412414125	6.447123452	7.890080488	5.137518676	3.966356311	8.764055446	5.503826672	6.196832549	8.379801255	4.125903993	6.241499278	3.876709912	4.387350104	10.75556119	2.455204261	0.621039154	2.359529713	1.284462961	1.486948385	2.923766745	6.963898704	5.208108021	3.227422482	5.642712048	3.809196257	3.4016921	4.262198513	2.47315192	2.625990335	4.513349888	1.533225789	2.980384455	2.888612066	12.60709492	4.778615751	9.875660874	5.889122525	5.125404456	2.628506176	6.520848573	2.746013702	6.268091247	3.964747556	3.250437843
snca	protein_coding	chrNC_030677.1:68998998-69122153:+	gi|148235931|ref|NP_001090876.1|	436	1.00E-48	alpha-synuclein [Xenopus tropicalis]	gi|148235930|ref|NM_001097407.1|	1264	0	Xenopus tropicalis synuclein alpha (snca), mRNA	P37377	133	2.00E-35	Alpha-synuclein	.	.	.	.	pfam01387	Synuclein	Synuclein. There are three types of synucleins in humans, these are called alpha, beta and gamma. Alpha synuclein has been found mutated in families with autosomal dominant Parkinson's disease. A peptide of alpha synuclein has also been found in amyloid plaques in Alzheimer's patients.	GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0008344|adult locomotory behavior;GO:0007568|aging;GO:0048148|behavioral response to cocaine;GO:0071280|cellular response to copper ion;GO:0044344|cellular response to fibroblast growth factor stimulus;GO:0034599|cellular response to oxidative stress;GO:0042416|dopamine biosynthetic process;GO:0060079|excitatory postsynaptic potential;GO:0006631|fatty acid metabolic process;GO:0060291|long-term synaptic potentiation;GO:0001774|microglial cell activation;GO:0042775|mitochondrial ATP synthesis coupled electron transport;GO:0007006|mitochondrial membrane organization;GO:1904715|negative regulation of chaperone-mediated autophagy;GO:0045963|negative regulation of dopamine metabolic process;GO:0051585|negative regulation of dopamine uptake involved in synaptic transmission;GO:0045920|negative regulation of exocytosis;GO:0035067|negative regulation of histone acetylation;GO:0031115|negative regulation of microtubule polymerization;GO:0032769|negative regulation of monooxygenase activity;GO:0043524|negative regulation of neuron apoptotic process;GO:0051622|negative regulation of norepinephrine uptake;GO:0010642|negative regulation of platelet-derived growth factor receptor signaling pathway;GO:0001933|negative regulation of protein phosphorylation;GO:0051612|negative regulation of serotonin uptake;GO:0070495|negative regulation of thrombin-activated receptor signaling pathway;GO:0032410|negative regulation of transporter activity;GO:0006638|neutral lipid metabolic process;GO:0006644|phospholipid metabolic process;GO:0045807|positive regulation of endocytosis;GO:1903284|positive regulation of glutathione peroxidase activity;GO:1903285|positive regulation of hydrogen peroxide catabolic process;GO:0060732|positive regulation of inositol phosphate biosynthetic process;GO:0001956|positive regulation of neurotransmitter secretion;GO:0033138|positive regulation of peptidyl-serine phosphorylation;GO:0071902|positive regulation of protein serine/threonine kinase activity;GO:0001921|positive regulation of receptor recycling;GO:0051281|positive regulation of release of sequestered calcium ion into cytosol;GO:0031648|protein destabilization;GO:0031623|receptor internalization;GO:0050812|regulation of acyl-CoA biosynthetic process;GO:0014059|regulation of dopamine secretion;GO:0014048|regulation of glutamate secretion;GO:0040012|regulation of locomotion;GO:0048169|regulation of long-term neuronal synaptic plasticity;GO:0043030|regulation of macrophage activation;GO:1901214|regulation of neuron death;GO:0010517|regulation of phospholipase activity;GO:0042220|response to cocaine;GO:0042493|response to drug;GO:0034341|response to interferon-gamma;GO:0070555|response to interleukin-1;GO:0010040|response to iron(II) ion;GO:0032496|response to lipopolysaccharide;GO:0032026|response to magnesium ion;GO:0050808|synapse organization;GO:0001963|synaptic transmission, dopaminergic;GO:0048488|synaptic vesicle endocytosis;	GO:0015629|actin cytoskeleton;GO:0043679|axon terminus;GO:0005938|cell cortex;GO:0030054|cell junction;GO:0005737|cytoplasm;GO:0030659|cytoplasmic vesicle membrane;GO:0005829|cytosol;GO:0005615|extracellular space;GO:0005794|Golgi apparatus;GO:0030426|growth cone;GO:0016234|inclusion body;GO:0043231|intracellular membrane-bounded organelle;GO:0005739|mitochondrion;GO:0005640|nuclear outer membrane;GO:0048471|perinuclear region of cytoplasm;GO:0005886|plasma membrane;GO:0031092|platelet alpha granule membrane;GO:0098794|postsynapse;GO:0005840|ribosome;GO:0005791|rough endoplasmic reticulum;GO:0008021|synaptic vesicle;GO:0043195|terminal bouton;	GO:0050544|arachidonic acid binding;GO:0048487|beta-tubulin binding;GO:0005509|calcium ion binding;GO:0005507|copper ion binding;GO:0043027|cysteine-type endopeptidase inhibitor activity involved in apoptotic process;GO:0019899|enzyme binding;GO:0008198|ferrous iron binding;GO:0042802|identical protein binding;GO:0000287|magnesium ion binding;GO:0008017|microtubule binding;GO:0016491|oxidoreductase activity;GO:0043274|phospholipase binding;GO:0005543|phospholipid binding;GO:0019904|protein domain specific binding;GO:0047485|protein N-terminus binding;GO:0008270|zinc ion binding;	K04528	SNCA; synuclein, alpha (non A4 component of amyloid precursor)	9.088606089	6.242748289	10.93783955	7.484624383	4.984011153	3.747568965	41.29493475	28.65873379	41.89297135	34.14514373	26.97204542	26.75458305	6.727841007	4.25671567	8.444181309	3.276962122	5.021798384	6.462640022	29.12029166	26.17378719	35.78477654	34.12356076	46.67730726	18.2204198	6.12540787	4.137387831	1.255058796	3.685595388	2.30314329	1.732274261	25.31272365	19.96853311	8.253169983	22.4770506	27.55187287	23.41565779	4.601772364	8.20031524	5.299880761	5.378820674	6.13659537	3.238841978	34.03362833	42.48193972	47.52729212	41.39255297	37.82239139	21.55381339
ag1	protein_coding	chrNC_030685.1:55625444-55632155:+	gi|47498026|ref|NP_998864.1|	925	7.00E-118	anterior gradient protein 1 precursor [Xenopus tropicalis]	gi|47498025|ref|NM_213699.1|	1998	0	Xenopus (Silurana) tropicalis anterior gradient 1 (ag1), mRNA	Q6NVS9	360	2.00E-119	Anterior gradient protein 1	.	.	.	.	pfam13899	Thioredoxin_7	Thioredoxin-like. Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active centre disulfide bond.	GO:0030154|cell differentiation;GO:0060548|negative regulation of cell death;	GO:0005783|endoplasmic reticulum;GO:0005576|extracellular region;	GO:0002162|dystroglycan binding;	.	.	3.026194462	4.651736546	3.678355258	4.842314404	4.77775641	1.725243456	27.12577619	13.82168973	13.84635124	28.56544392	5.134825461	33.6581814	7.638334575	14.01872899	6.463834521	8.899514839	13.98382133	8.031849492	26.14803847	32.78642251	34.51695262	34.12891706	15.36463865	72.00775706	21.98542988	21.37498665	8.474151983	12.48591655	6.140103264	11.90896906	36.38697897	45.13773758	30.35254238	28.95127773	33.70657472	16.82944667	4.438735519	7.473583725	3.626031891	3.554383732	4.278219976	3.92743068	22.16860523	12.64950983	44.7220906	22.89049448	18.56233594	16.1930117
col5a1	protein_coding	chrNW_016683374.1:960968-1101225:+	gi|512857820|ref|XP_004916702.1|	1961	0	PREDICTED: collagen alpha-1(V) chain isoform X1 [Xenopus tropicalis]	gi|847157796|ref|XM_004916645.2|	10830	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type V, alpha 1 (col5a1), transcript variant X1, mRNA	P20908	65.1	1.00E-08	Collagen alpha-1(V) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0001568|blood vessel development;GO:0007155|cell adhesion;GO:0016477|cell migration;GO:0032964|collagen biosynthetic process;GO:0030574|collagen catabolic process;GO:0030199|collagen fibril organization;GO:0030198|extracellular matrix organization;GO:0048592|eye morphogenesis;GO:0003007|heart morphogenesis;GO:0045112|integrin biosynthetic process;GO:1903225|negative regulation of endodermal cell differentiation;GO:0051128|regulation of cellular component organization;GO:0043588|skin development;GO:0035989|tendon development;GO:0035313|wound healing, spreading of epidermal cells;	GO:0005604|basement membrane;GO:0005588|collagen type V trimer;GO:0005788|endoplasmic reticulum lumen;GO:0070062|extracellular exosome;GO:0031012|extracellular matrix;GO:0005576|extracellular region;	GO:0005201|extracellular matrix structural constituent;GO:0008201|heparin binding;GO:0005178|integrin binding;GO:0046872|metal ion binding;GO:0048407|platelet-derived growth factor binding;GO:0043394|proteoglycan binding;	.	.	90.22321368	45.25813226	49.35251321	56.57568329	50.26671282	35.48179237	52.71472046	65.61618162	34.39243846	91.53329354	46.86231076	70.74702009	61.21445451	31.96449546	49.64404061	29.52678657	49.45544947	61.88831902	38.97305662	10.80861522	23.20033108	22.52425159	27.40953274	32.84991862	44.78642028	39.74718237	30.78283406	48.5983123	32.33179102	31.0126235	43.56295648	25.74120388	35.66435839	38.17838458	15.08080235	49.12792476	37.9408508	77.24852058	55.10275534	60.42927035	47.65417308	50.85515791	25.01849105	77.12052749	30.18395908	66.14473274	40.60669058	53.99947705
olfml3	protein_coding	chrNC_030678.1:67665487-67675124:-	gi|118403662|ref|NP_001072318.1|	2182	0	olfactomedin-like protein 3 precursor [Xenopus tropicalis]	gi|847088505|ref|XM_012965130.1|	3399	0	PREDICTED: Xenopus (Silurana) tropicalis olfactomedin-like 3 (olfml3), transcript variant X1, mRNA	Q0V9V5	843	0	Olfactomedin-like protein 3	.	.	.	.	pfam02191	OLF	Olfactomedin-like domain.	GO:0007275|multicellular organism development;	GO:0005576|extracellular region;	.	.	.	75.86014396	56.11493807	63.99290114	57.87098364	62.05753072	41.69091566	46.07434873	102.0620421	34.11008727	114.1967898	81.89011573	53.64103392	58.20661788	41.893558	62.00136933	42.4206474	55.57446472	59.73869375	39.4329473	17.14191607	37.34165062	25.24190716	44.11469451	60.15801929	52.85305257	52.13396059	37.91379236	60.21354483	43.8490054	51.9937464	50.14808256	24.65808839	31.50385647	43.46575358	20.74850446	69.18079168	56.95408586	75.94596749	57.75610855	79.26289886	78.65448179	69.26739986	36.91984341	71.78796661	47.24160118	66.34564433	52.54156375	41.24715088
